
"KS201EW - Ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 1 May 2019]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All usual residents","%","White","%","Mixed/multiple ethnic groups","%","Asian/Asian British","%","Black/African/Caribbean/Black British","%"

"AL1  1",5453,100.0,4738,86.9,160,2.9,394,7.2,127,2.3
"AL1  2",6523,100.0,5127,78.6,218,3.3,851,13.0,258,4.0
"AL1  3",4179,100.0,3599,86.1,150,3.6,311,7.4,99,2.4
"AL1  4",9799,100.0,8790,89.7,280,2.9,562,5.7,111,1.1
"AL1  5",10226,100.0,7775,76.0,383,3.7,1618,15.8,300,2.9
"AL10 0",9935,100.0,7744,77.9,267,2.7,958,9.6,823,8.3
"AL10 8",10998,100.0,8142,74.0,330,3.0,1566,14.2,816,7.4
"AL10 9",14967,100.0,9997,66.8,508,3.4,2618,17.5,1526,10.2
"AL2  1",9507,100.0,7581,79.7,453,4.8,1096,11.5,231,2.4
"AL2  2",6130,100.0,5509,89.9,152,2.5,304,5.0,118,1.9
"AL2  3",7967,100.0,7269,91.2,161,2.0,410,5.1,90,1.1
"AL3  4",5565,100.0,5205,93.5,115,2.1,183,3.3,41,0.7
"AL3  5",8831,100.0,7667,86.8,290,3.3,583,6.6,213,2.4
"AL3  6",4281,100.0,3587,83.8,142,3.3,437,10.2,75,1.8
"AL3  7",5344,100.0,5080,95.1,81,1.5,129,2.4,35,0.7
"AL3  8",4441,100.0,4266,96.1,88,2.0,48,1.1,34,0.8
"AL4  0",9308,100.0,8161,87.7,317,3.4,580,6.2,155,1.7
"AL4  8",6509,100.0,6238,95.8,107,1.6,78,1.2,73,1.1
"AL4  9",11451,100.0,10520,91.9,258,2.3,483,4.2,156,1.4
"AL5  1",6090,100.0,5675,93.2,98,1.6,246,4.0,51,0.8
"AL5  2",4676,100.0,4370,93.5,89,1.9,184,3.9,25,0.5
"AL5  3",4659,100.0,4359,93.6,99,2.1,156,3.3,25,0.5
"AL5  4",6450,100.0,5913,91.7,169,2.6,192,3.0,127,2.0
"AL5  5",8365,100.0,7844,93.8,194,2.3,222,2.7,80,1.0
"AL6  0",6434,100.0,6017,93.5,119,1.8,199,3.1,71,1.1
"AL6  9",4788,100.0,4510,94.2,64,1.3,155,3.2,39,0.8
"AL7  1",5761,100.0,5156,89.5,130,2.3,291,5.1,154,2.7
"AL7  2",7395,100.0,6553,88.6,171,2.3,362,4.9,277,3.7
"AL7  3",10114,100.0,8811,87.1,298,2.9,500,4.9,431,4.3
"AL7  4",10620,100.0,8987,84.6,294,2.8,812,7.6,419,3.9
"AL8  6",5869,100.0,5326,90.7,127,2.2,291,5.0,91,1.6
"AL8  7",7383,100.0,6796,92.0,183,2.5,250,3.4,125,1.7
"AL9  5",2085,100.0,1809,86.8,49,2.4,176,8.4,33,1.6
"AL9  6",1427,100.0,1279,89.6,32,2.2,67,4.7,36,2.5
"AL9  7",6897,100.0,6312,91.5,153,2.2,287,4.2,68,1.0
"B1   1",4099,100.0,2217,54.1,200,4.9,1168,28.5,340,8.3
"B1   2",2897,100.0,1393,48.1,202,7.0,665,23.0,532,18.4
"B1   3",993,100.0,706,71.1,49,4.9,164,16.5,65,6.5
"B10  0",8206,100.0,965,11.8,246,3.0,5522,67.3,1009,12.3
"B10  9",17702,100.0,1821,10.3,475,2.7,12821,72.4,1785,10.1
"B11  1",11688,100.0,963,8.2,389,3.3,8522,72.9,1041,8.9
"B11  2",3479,100.0,922,26.5,116,3.3,2038,58.6,253,7.3
"B11  3",17242,100.0,4863,28.2,699,4.1,10333,59.9,904,5.2
"B11  4",12295,100.0,1035,8.4,238,1.9,10024,81.5,503,4.1
"B12  0",4129,100.0,1267,30.7,326,7.9,1087,26.3,1054,25.5
"B12  8",8748,100.0,1023,11.7,333,3.8,5260,60.1,933,10.7
"B12  9",7878,100.0,1342,17.0,384,4.9,3806,48.3,978,12.4
"B13  0",13458,100.0,8812,65.5,615,4.6,3259,24.2,582,4.3
"B13  8",7678,100.0,4496,58.6,449,5.8,1933,25.2,523,6.8
"B13  9",15681,100.0,7748,49.4,742,4.7,5857,37.4,905,5.8
"B14  4",12710,100.0,10510,82.7,575,4.5,1091,8.6,444,3.5
"B14  5",10926,100.0,9110,83.4,514,4.7,492,4.5,692,6.3
"B14  6",12143,100.0,8969,73.9,596,4.9,1757,14.5,669,5.5
"B14  7",7634,100.0,5567,72.9,389,5.1,1341,17.6,262,3.4
"B15  1",2582,100.0,1355,52.5,184,7.1,489,18.9,441,17.1
"B15  2",9675,100.0,5622,58.1,648,6.7,2005,20.7,1052,10.9
"B15  3",5964,100.0,3573,59.9,219,3.7,1827,30.6,192,3.2
"B16  0",10022,100.0,2942,29.4,572,5.7,4475,44.7,1616,16.1
"B16  8",6754,100.0,3005,44.5,476,7.0,1389,20.6,1603,23.7
"B16  9",6994,100.0,3826,54.7,424,6.1,1634,23.4,939,13.4
"B17  0",8835,100.0,6243,70.7,402,4.6,1499,17.0,492,5.6
"B17  8",9118,100.0,4137,45.4,285,3.1,3613,39.6,672,7.4
"B17  9",7610,100.0,6102,80.2,339,4.5,859,11.3,211,2.8
"B18  4",6676,100.0,1602,24.0,484,7.2,2843,42.6,1531,22.9
"B18  5",5132,100.0,1150,22.4,386,7.5,1558,30.4,1902,37.1
"B18  6",1890,100.0,1077,57.0,126,6.7,340,18.0,322,17.0
"B18  7",2585,100.0,883,34.2,247,9.6,322,12.5,1064,41.2
"B19  1",8818,100.0,675,7.7,317,3.6,5964,67.6,1686,19.1
"B19  2",7537,100.0,1143,15.2,500,6.6,2791,37.0,2900,38.5
"B19  3",3713,100.0,1076,29.0,226,6.1,688,18.5,1612,43.4
"B2   4",451,100.0,159,35.3,15,3.3,198,43.9,49,10.9
"B2   5",165,100.0,94,57.0,8,4.8,50,30.3,6,3.6
"B20  1",8296,100.0,2134,25.7,258,3.1,4519,54.5,992,12.0
"B20  2",10818,100.0,2552,23.6,572,5.3,5159,47.7,2173,20.1
"B20  3",14975,100.0,1783,11.9,535,3.6,9054,60.5,3311,22.1
"B21  0",10012,100.0,1334,13.3,533,5.3,5620,56.1,2138,21.4
"B21  8",9576,100.0,1730,18.1,473,4.9,4903,51.2,2037,21.3
"B21  9",10738,100.0,1245,11.6,510,4.7,6586,61.3,2028,18.9
"B23  5",15189,100.0,11396,75.0,819,5.4,1300,8.6,1584,10.4
"B23  6",11113,100.0,7615,68.5,741,6.7,1326,11.9,1314,11.8
"B23  7",16568,100.0,9786,59.1,1052,6.3,2910,17.6,2680,16.2
"B24  0",10567,100.0,8560,81.0,453,4.3,795,7.5,677,6.4
"B24  8",8028,100.0,4147,51.7,566,7.1,1958,24.4,1231,15.3
"B24  9",10275,100.0,7888,76.8,537,5.2,1024,10.0,770,7.5
"B25  8",16005,100.0,8850,55.3,798,5.0,5070,31.7,1018,6.4
"B26  1",10895,100.0,8792,80.7,297,2.7,1472,13.5,267,2.5
"B26  2",11456,100.0,9542,83.3,345,3.0,1117,9.8,399,3.5
"B26  3",10475,100.0,9102,86.9,284,2.7,763,7.3,261,2.5
"B27  6",9604,100.0,6327,65.9,425,4.4,2244,23.4,501,5.2
"B27  7",15230,100.0,10077,66.2,724,4.8,3487,22.9,769,5.0
"B28  0",14567,100.0,9657,66.3,428,2.9,3972,27.3,295,2.0
"B28  8",7734,100.0,3293,42.6,254,3.3,3701,47.9,286,3.7
"B28  9",7735,100.0,4239,54.8,274,3.5,2902,37.5,203,2.6
"B29  4",6122,100.0,4733,77.3,307,5.0,591,9.7,293,4.8
"B29  5",10203,100.0,8175,80.1,585,5.7,727,7.1,596,5.8
"B29  6",13598,100.0,9332,68.6,542,4.0,2751,20.2,655,4.8
"B29  7",12101,100.0,8968,74.1,522,4.3,2018,16.7,430,3.6
"B3   1",2441,100.0,1593,65.3,128,5.2,505,20.7,152,6.2
"B3   2",133,100.0,81,60.9,6,4.5,38,28.6,5,3.8
"B30  1",10109,100.0,9075,89.8,352,3.5,372,3.7,246,2.4
"B30  2",11521,100.0,9364,81.3,481,4.2,1167,10.1,422,3.7
"B30  3",7454,100.0,6068,81.4,343,4.6,590,7.9,376,5.0
"B31  1",11388,100.0,9289,81.6,533,4.7,785,6.9,678,6.0
"B31  2",12076,100.0,10074,83.4,578,4.8,682,5.6,642,5.3
"B31  3",11150,100.0,9886,88.7,484,4.3,291,2.6,434,3.9
"B31  4",9928,100.0,8880,89.4,370,3.7,230,2.3,394,4.0
"B31  5",9760,100.0,8456,86.6,439,4.5,383,3.9,418,4.3
"B32  1",9377,100.0,7193,76.7,454,4.8,917,9.8,698,7.4
"B32  2",12079,100.0,8226,68.1,865,7.2,1471,12.2,1272,10.5
"B32  3",11942,100.0,9604,80.4,660,5.5,628,5.3,956,8.0
"B32  4",5120,100.0,4368,85.3,271,5.3,123,2.4,323,6.3
"B33  0",10462,100.0,8928,85.3,508,4.9,422,4.0,549,5.2
"B33  8",11937,100.0,7043,59.0,579,4.9,3203,26.8,985,8.3
"B33  9",12114,100.0,8243,68.0,865,7.1,1921,15.9,981,8.1
"B34  6",11167,100.0,7624,68.3,559,5.0,2339,20.9,560,5.0
"B34  7",8160,100.0,7086,86.8,446,5.5,240,2.9,351,4.3
"B35  6",4240,100.0,3722,87.8,234,5.5,54,1.3,203,4.8
"B35  7",5731,100.0,4868,84.9,365,6.4,95,1.7,376,6.6
"B36  0",12698,100.0,11705,92.2,393,3.1,168,1.3,405,3.2
"B36  8",12779,100.0,6251,48.9,684,5.4,4202,32.9,1462,11.4
