posstcode sector,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
AL1  1,5453,4738.0,86.9,160.0,2.9,394.0,7.2,127.0,2.3
AL1  2,6523,5127.0,78.6,218.0,3.3,851.0,13.0,258.0,4.0
AL1  3,4179,3599.0,86.1,150.0,3.6,311.0,7.4,99.0,2.4
AL1  4,9799,8790.0,89.7,280.0,2.9,562.0,5.7,111.0,1.1
AL1  5,10226,7775.0,76.0,383.0,3.7,1618.0,15.8,300.0,2.9
AL10 0,9935,7744.0,77.9,267.0,2.7,958.0,9.6,823.0,8.3
AL10 8,10998,8142.0,74.0,330.0,3.0,1566.0,14.2,816.0,7.4
AL10 9,14967,9997.0,66.8,508.0,3.4,2618.0,17.5,1526.0,10.2
AL2  1,9507,7581.0,79.7,453.0,4.8,1096.0,11.5,231.0,2.4
AL2  2,6130,5509.0,89.9,152.0,2.5,304.0,5.0,118.0,1.9
AL2  3,7967,7269.0,91.2,161.0,2.0,410.0,5.1,90.0,1.1
AL3  4,5565,5205.0,93.5,115.0,2.1,183.0,3.3,41.0,0.7
AL3  5,8831,7667.0,86.8,290.0,3.3,583.0,6.6,213.0,2.4
AL3  6,4281,3587.0,83.8,142.0,3.3,437.0,10.2,75.0,1.8
AL3  7,5344,5080.0,95.1,81.0,1.5,129.0,2.4,35.0,0.7
AL3  8,4441,4266.0,96.1,88.0,2.0,48.0,1.1,34.0,0.8
AL4  0,9308,8161.0,87.7,317.0,3.4,580.0,6.2,155.0,1.7
AL4  8,6509,6238.0,95.8,107.0,1.6,78.0,1.2,73.0,1.1
AL4  9,11451,10520.0,91.9,258.0,2.3,483.0,4.2,156.0,1.4
AL5  1,6090,5675.0,93.2,98.0,1.6,246.0,4.0,51.0,0.8
AL5  2,4676,4370.0,93.5,89.0,1.9,184.0,3.9,25.0,0.5
AL5  3,4659,4359.0,93.6,99.0,2.1,156.0,3.3,25.0,0.5
AL5  4,6450,5913.0,91.7,169.0,2.6,192.0,3.0,127.0,2.0
AL5  5,8365,7844.0,93.8,194.0,2.3,222.0,2.7,80.0,1.0
AL6  0,6434,6017.0,93.5,119.0,1.8,199.0,3.1,71.0,1.1
AL6  9,4788,4510.0,94.2,64.0,1.3,155.0,3.2,39.0,0.8
AL7  1,5761,5156.0,89.5,130.0,2.3,291.0,5.1,154.0,2.7
AL7  2,7395,6553.0,88.6,171.0,2.3,362.0,4.9,277.0,3.7
