,pc_sector,EUpop
0,AL1  1,277
1,AL1  2,317
2,AL1  3,293
3,AL1  4,431
4,AL1  5,690
5,AL10 0,1034
6,AL10 8,820
7,AL10 9,1019
8,AL2  1,491
9,AL2  2,184
10,AL2  3,179
11,AL3  4,213
12,AL3  5,437
13,AL3  6,164
14,AL3  7,133
15,AL3  8,82
16,AL4  0,341
17,AL4  8,152
18,AL4  9,410
19,AL5  1,143
20,AL5  2,133
21,AL5  3,110
22,AL5  4,186
23,AL5  5,323
24,AL6  0,139
25,AL6  9,106
26,AL7  1,228
27,AL7  2,265
28,AL7  3,394
29,AL7  4,395
30,AL8  6,218
31,AL8  7,221
32,AL9  5,124
33,AL9  6,55
34,AL9  7,346
35,B1   1,366
36,B1   2,256
37,B1   3,97
38,B10  0,316
39,B10  9,788
40,B11  1,246
41,B11  2,121
42,B11  3,524
43,B11  4,288
44,B12  0,219
45,B12  8,201
46,B12  9,215
47,B13  0,281
48,B13  8,282
49,B13  9,484
50,B14  4,203
51,B14  5,164
52,B14  6,211
53,B14  7,226
54,B15  1,195
55,B15  2,468
56,B15  3,246
57,B16  0,771
58,B16  8,581
59,B16  9,616
60,B17  0,425
61,B17  8,443
62,B17  9,217
63,B18  4,337
64,B18  5,284
65,B18  6,135
66,B18  7,120
67,B19  1,198
68,B19  2,285
69,B19  3,186
70,B2   4,41
71,B2   5,24
72,B20  1,323
73,B20  2,526
74,B20  3,563
75,B21  0,613
76,B21  8,776
77,B21  9,612
78,B23  5,422
79,B23  6,686
80,B23  7,791
81,B24  0,221
82,B24  8,426
83,B24  9,353
84,B25  8,533
85,B26  1,188
86,B26  2,152
87,B26  3,223
88,B27  6,483
89,B27  7,608
90,B28  0,210
91,B28  8,178
92,B28  9,164
93,B29  4,147
94,B29  5,209
95,B29  6,578
96,B29  7,499
97,B3   1,167
98,B3   2,15
99,B30  1,195
100,B30  2,291
101,B30  3,193
102,B31  1,186
103,B31  2,193
104,B31  3,131
105,B31  4,114
106,B31  5,153
107,B32  1,188
108,B32  2,373
109,B32  3,169
110,B32  4,54
111,B33  0,171
112,B33  8,355
113,B33  9,188
114,B34  6,169
115,B34  7,78
116,B35  6,51
117,B35  7,58
118,B36  0,94
119,B36  8,325
120,B36  9,68
121,B37  5,106
122,B37  6,167
123,B37  7,140
124,B38  0,26
125,B38  8,131
126,B38  9,132
127,B4   6,33
128,B4   7,509
129,B42  1,382
130,B42  2,296
131,B43  5,261
132,B43  6,77
133,B43  7,85
134,B44  0,311
135,B44  8,198
136,B44  9,160
137,B45  0,66
138,B45  8,123
139,B45  9,134
140,B46  1,103
141,B46  2,16
142,B46  3,36
143,B47  5,45
144,B47  6,27
145,B48  7,53
146,B49  5,86
147,B49  6,83
148,B5   4,170
149,B5   5,78
150,B5   6,32
151,B5   7,427
152,B50  4,102
153,B6   4,52
154,B6   5,132
155,B6   6,230
156,B6   7,111
157,B60  1,71
158,B60  2,75
159,B60  3,112
160,B60  4,48
161,B61  0,81
162,B61  7,178
163,B61  8,79
164,B61  9,21
165,B62  0,66
166,B62  8,77
167,B62  9,92
168,B63  1,34
169,B63  2,125
170,B63  3,67
171,B63  4,109
172,B64  5,32
173,B64  6,87
174,B64  7,39
175,B65  0,98
176,B65  8,80
177,B65  9,122
178,B66  1,172
179,B66  2,77
180,B66  3,386
181,B66  4,773
182,B67  5,404
183,B67  6,357
184,B67  7,465
185,B68  0,174
186,B68  8,300
187,B68  9,249
188,B69  1,364
189,B69  2,187
190,B69  3,148
191,B69  4,225
192,B7   4,166
193,B7   5,211
194,B70  0,396
195,B70  6,731
196,B70  7,166
197,B70  8,322
198,B70  9,534
