
"LC1117EW - Sex by age"
"ONS Crown Copyright Reserved [from Nomis on 28 April 2019]"
"Population :","All usual residents"
"Units      :","Persons"
"Sex        :","Males"
"Age        :","All categories: Age"

"postcode sector","2011"

"AL1  1",2715
"AL1  2",3183
"AL1  3",2121
"AL1  4",4845
"AL1  5",5129
"AL10 0",5039
"AL10 8",5648
"AL10 9",7640
"AL2  1",4661
"AL2  2",3058
"AL2  3",3877
"AL3  4",2763
"AL3  5",4200
"AL3  6",2070
"AL3  7",2582
"AL3  8",2215
"AL4  0",4717
"AL4  8",3108
"AL4  9",5563
"AL5  1",3016
"AL5  2",2270
"AL5  3",2272
"AL5  4",3121
"AL5  5",4094
"AL6  0",3155
"AL6  9",2340
"AL7  1",2789
"AL7  2",3715
"AL7  3",4842
"AL7  4",5156
"AL8  6",2750
"AL8  7",3495
"AL9  5",1014
"AL9  6",610
"AL9  7",3328
"B1   1",2340
"B1   2",1584
"B1   3",581
"B10  0",4236
"B10  9",8800
"B11  1",5989
"B11  2",1748
"B11  3",8608
"B11  4",6210
"B12  0",2227
"B12  8",4443
"B12  9",3975
"B13  0",6465
"B13  8",4079
"B13  9",7957
"B14  4",6206
"B14  5",5301
"B14  6",5853
"B14  7",3740
"B15  1",1448
"B15  2",4794
"B15  3",2877
"B16  0",5104
"B16  8",3619
"B16  9",3728
"B17  0",4285
"B17  8",4683
"B17  9",3596
"B18  4",3579
"B18  5",2569
"B18  6",1017
"B18  7",1222
"B19  1",4467
"B19  2",3711
"B19  3",1935
"B2   4",264
"B2   5",89
"B20  1",4057
"B20  2",5389
"B20  3",7744
"B21  0",5046
"B21  8",4699
"B21  9",5538
"B23  5",7232
"B23  6",5531
"B23  7",8081
"B24  0",5162
"B24  8",3945
"B24  9",5046
"B25  8",7774
"B26  1",5405
"B26  2",5601
"B26  3",5211
"B27  6",4824
"B27  7",7391
"B28  0",7154
"B28  8",3771
"B28  9",3800
"B29  4",2966
"B29  5",4836
"B29  6",6381
"B29  7",5968
"B3   1",1425
"B3   2",78
"B30  1",4712
"B30  2",5616
"B30  3",3615
"B31  1",5374
"B31  2",5887
"B31  3",5449
"B31  4",4799
"B31  5",4735
"B32  1",4486
"B32  2",5692
"B32  3",5643
"B32  4",2409
"B33  0",4979
"B33  8",5834
"B33  9",5754
"B34  6",5321
"B34  7",3809
"B35  6",2016
"B35  7",2566
"B36  0",6128
"B36  8",6113
"B36  9",4469
"B37  5",4776
"B37  6",5766
"B37  7",6765
"B38  0",985
"B38  8",4476
"B38  9",4752
"B4   6",220
"B4   7",2147
"B42  1",5300
"B42  2",6436
"B43  5",5314
"B43  6",3203
"B43  7",5301
"B44  0",7403
"B44  8",4865
"B44  9",5521
"B45  0",3449
"B45  8",5180
"B45  9",6095
"B46  1",3523
"B46  2",1103
"B46  3",1286
"B47  5",3211
"B47  6",1342
"B48  7",2821
"B49  5",2146
"B49  6",2825
"B5   4",1236
"B5   5",391
"B5   6",118
"B5   7",4401
"B50  4",2608
"B6   4",519
"B6   5",2219
"B6   6",5824
"B6   7",1363
"B60  1",3755
"B60  2",3775
"B60  3",4440
"B60  4",1685
"B61  0",4888
"B61  7",2597
"B61  8",2784
"B61  9",1222
"B62  0",3092
"B62  8",3996
"B62  9",4870
"B63  1",2873
"B63  2",5935
"B63  3",3818
"B63  4",5188
"B64  5",1825
"B64  6",3471
"B64  7",2834
"B65  0",2913
"B65  8",3800
"B65  9",4908
"B66  1",1799
"B66  2",770
"B66  3",3622
"B66  4",4399
"B67  5",4767
"B67  6",5128
"B67  7",4971
"B68  0",4448
"B68  8",4776
"B68  9",5665
"B69  1",7328
"B69  2",2573
"B69  3",1747
"B69  4",2724
"B7   4",1770
"B7   5",2402
"B70  0",3430
"B70  6",3572
"B70  7",1525
"B70  8",1994
"B70  9",3742
"B71  1",4119
"B71  2",4930
"B71  3",4312
"B71  4",1786
"B72  1",4658
"B73  5",6483
"B73  6",4622
"B74  2",4829
"B74  3",5497
"B74  4",5405
"B75  5",3910
"B75  6",4355
"B75  7",4624
"B76  0",185
"B76  1",5663
"B76  2",3160
"B76  9",1519
"B77  1",5331
"B77  2",7213
"B77  3",4311
"B77  4",6968
"B77  5",4409
"B78  1",5039
"B78  2",2154
"B78  3",4887
"B79  0",1589
"B79  7",2989
"B79  8",5028
"B79  9",1133
"B8   1",5310
"B8   2",7528
"B8   3",8166
"B80  7",3444
"B9   4",2205
"B9   5",10055
"B90  1",5197
"B90  2",6122
"B90  3",5055
"B90  4",5603
"B91  1",5313
"B91  2",5635
"B91  3",5158
"B92  0",1957
"B92  7",6209
"B92  8",6009
"B92  9",3939
"B93  0",1641
"B93  8",3800
"B93  9",4128
"B94  5",1926
"B94  6",1756
"B95  5",1873
"B95  6",852
"B96  6",2475
"B97  4",2872
"B97  5",8263
"B97  6",5902
"B98  0",7270
"B98  7",9905
"B98  8",4728
"B98  9",3119
"BA1  1",972
"BA1  2",3328
"BA1  3",3601
"BA1  4",2528
"BA1  5",2228
"BA1  6",4076
"BA1  7",2658
"BA1  8",442
"BA1  9",118
"BA10 0",1820
"BA11 1",2434
"BA11 2",5358
"BA11 3",2421
"BA11 4",3052
"BA11 5",1643
"BA11 6",912
"BA12 0",2748
"BA12 6",2096
"BA12 7",1473
"BA12 8",4342
"BA12 9",3140
"BA13 2",627
"BA13 3",6213
"BA13 4",2966
"BA14 0",6132
"BA14 6",2873
"BA14 7",7368
"BA14 8",2921
"BA14 9",4254
"BA15 1",4307
"BA15 2",1904
"BA16 0",5098
"BA16 9",1278
"BA2  0",2261
"BA2  1",6268
"BA2  2",5130
"BA2  3",4574
"BA2  4",3136
"BA2  5",3427
"BA2  6",2984
"BA2  7",3600
"BA2  8",3769
"BA2  9",950
"BA20 1",1123
"BA20 2",4253
"BA21 3",7355
"BA21 4",4411
"BA21 5",4712
"BA22 7",1909
"BA22 8",4895
"BA22 9",2624
"BA3  2",4813
"BA3  3",5134
"BA3  4",3803
"BA3  5",3425
"BA4  4",2554
"BA4  5",4225
"BA4  6",2109
"BA5  1",2887
"BA5  2",3395
"BA5  3",2009
"BA6  8",3116
"BA6  9",3130
"BA7  7",1653
"BA8  0",2047
"BA9  8",710
"BA9  9",2796
"BB1  1",6228
"BB1  2",4676
"BB1  3",1387
"BB1  4",3296
"BB1  5",3881
"BB1  6",1750
"BB1  7",2235
"BB1  8",4882
"BB1  9",4931
"BB10 1",4503
"BB10 2",5104
"BB10 3",3931
"BB10 4",4952
"BB11 2",2523
"BB11 3",1991
"BB11 4",2972
"BB11 5",3366
"BB12 0",4110
"BB12 6",4101
"BB12 7",3531
"BB12 8",3828
"BB12 9",1435
"BB18 5",3843
"BB18 6",4643
"BB2  1",3014
"BB2  2",2270
"BB2  3",4853
"BB2  4",7495
"BB2  5",3461
"BB2  6",5256
"BB2  7",3542
"BB3  0",4569
"BB3  1",3119
"BB3  2",4720
"BB3  3",4654
"BB4  4",3604
"BB4  5",2970
"BB4  6",3798
"BB4  7",2907
"BB4  8",4280
"BB4  9",2747
"BB5  0",4795
"BB5  1",2502
"BB5  2",3829
"BB5  3",3914
"BB5  4",4326
"BB5  5",5598
"BB5  6",5244
"BB6  7",5324
"BB6  8",1941
"BB7  1",3711
"BB7  2",3462
"BB7  3",1520
"BB7  4",2525
"BB7  9",4377
"BB8  0",2969
"BB8  7",2272
"BB8  8",2515
"BB8  9",3527
"BB9  0",5990
"BB9  5",3156
"BB9  6",2325
"BB9  7",3349
"BB9  8",3939
"BB9  9",3176
"BD1  1",241
"BD1  2",222
"BD1  3",855
"BD1  4",470
"BD1  5",464
"BD10 0",4283
"BD10 8",5204
"BD10 9",3118
"BD11 1",2735
"BD11 2",2783
"BD12 0",2592
"BD12 7",921
"BD12 8",2407
"BD12 9",2209
"BD13 1",1934
"BD13 2",3736
"BD13 3",3388
"BD13 4",1717
"BD13 5",1382
"BD14 6",3966
"BD15 0",1987
"BD15 7",3902
"BD15 9",1485
"BD16 1",4560
"BD16 2",1664
"BD16 3",2839
"BD16 4",3641
"BD17 5",4027
"BD17 6",2949
"BD17 7",1767
"BD18 1",3533
"BD18 2",3342
"BD18 3",2719
"BD18 4",3740
"BD19 3",2978
"BD19 4",4628
"BD19 5",1298
"BD19 6",1958
"BD2  1",4011
"BD2  2",2267
"BD2  3",3863
"BD2  4",3740
"BD20 0",2992
"BD20 5",3562
"BD20 6",3593
"BD20 7",2332
"BD20 8",2619
"BD20 9",1922
"BD21 1",2924
"BD21 2",3596
"BD21 3",2000
"BD21 4",3691
"BD21 5",1326
"BD22 0",2255
"BD22 6",3665
"BD22 7",4373
"BD22 8",2092
"BD22 9",2118
"BD23 1",2845
"BD23 2",3987
"BD23 3",1969
"BD23 4",1772
"BD23 5",1654
"BD23 6",1908
"BD24 0",1003
"BD24 9",1497
"BD3  0",4886
"BD3  7",3710
"BD3  8",4604
"BD3  9",3910
"BD4  0",3259
"BD4  6",3519
"BD4  7",2356
"BD4  8",3342
"BD4  9",2730
"BD5  0",3823
"BD5  7",3228
"BD5  8",3863
"BD5  9",5171
"BD6  1",4531
"BD6  2",3627
"BD6  3",6252
"BD7  1",3463
"BD7  2",5936
"BD7  3",4411
"BD7  4",4198
"BD8  0",3802
"BD8  7",3575
"BD8  8",3398
"BD8  9",5129
"BD9  4",4843
"BD9  5",5425
"BD9  6",4298
"BH1  1",1481
"BH1  2",573
"BH1  3",3490
"BH1  4",4831
"BH10 4",1998
"BH10 5",3437
"BH10 6",2409
"BH10 7",1909
"BH11 8",4778
"BH11 9",4890
"BH12 1",3117
"BH12 2",3944
"BH12 3",3952
"BH12 4",4223
"BH12 5",2153
"BH13 6",2154
"BH13 7",1891
"BH14 0",3424
"BH14 8",4528
"BH14 9",3583
"BH15 1",2973
"BH15 2",2937
"BH15 3",5425
"BH15 4",4760
"BH16 5",5293
"BH16 6",2394
"BH17 7",4299
"BH17 8",3663
"BH17 9",3188
"BH18 8",2180
"BH18 9",3149
"BH19 1",1941
"BH19 2",2680
"BH19 3",950
"BH2  5",2480
"BH2  6",1913
"BH20 4",2563
"BH20 5",1971
"BH20 6",3081
"BH20 7",2277
"BH21 1",4891
"BH21 2",4353
"BH21 3",5247
"BH21 4",1117
"BH21 5",1188
"BH21 6",692
"BH21 7",1846
"BH21 8",272
"BH22 0",3563
"BH22 8",5262
"BH22 9",3894
"BH23 1",2659
"BH23 2",5870
"BH23 3",4320
"BH23 4",4562
"BH23 5",3180
"BH23 6",270
"BH23 7",2167
"BH23 8",2280
"BH24 1",4984
"BH24 2",3327
"BH24 3",2386
"BH24 4",642
"BH25 5",5855
"BH25 6",2993
"BH25 7",3089
"BH3  7",2892
"BH31 6",4964
"BH31 7",1517
"BH4  8",2620
"BH4  9",2006
"BH5  1",3333
"BH5  2",2470
"BH6  3",4271
"BH6  4",1708
"BH6  5",4659
"BH7  6",4041
"BH7  7",1798
"BH8  0",3441
"BH8  8",6549
"BH8  9",3951
"BH9  1",6295
"BH9  2",4332
"BH9  3",4902
"BL0  0",2681
"BL0  9",5935
"BL1  1",264
"BL1  2",2241
"BL1  3",4979
"BL1  4",4656
"BL1  5",5890
"BL1  6",4206
"BL1  7",4164
"BL1  8",5451
"BL2  1",2008
"BL2  2",4012
"BL2  3",4099
"BL2  4",2285
"BL2  5",4449
"BL2  6",5161
"BL3  1",6026
