
"KS205EW - Passports held"
"ONS Crown Copyright Reserved [from Nomis on 28 April 2019]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All usual residents","%","Other Europe: EU countries","%"

"AL1  1",5453,100.0,253,4.6
"AL1  2",6523,100.0,301,4.6
"AL1  3",4179,100.0,282,6.7
"AL1  4",9799,100.0,369,3.8
"AL1  5",10226,100.0,671,6.6
"AL10 0",9935,100.0,1003,10.1
"AL10 8",10998,100.0,762,6.9
"AL10 9",14967,100.0,912,6.1
"AL2  1",9507,100.0,477,5.0
"AL2  2",6130,100.0,119,1.9
"AL2  3",7967,100.0,130,1.6
"AL3  4",5565,100.0,185,3.3
"AL3  5",8831,100.0,385,4.4
"AL3  6",4281,100.0,131,3.1
"AL3  7",5344,100.0,94,1.8
"AL3  8",4441,100.0,59,1.3
"AL4  0",9308,100.0,295,3.2
"AL4  8",6509,100.0,106,1.6
"AL4  9",11451,100.0,351,3.1
"AL5  1",6090,100.0,114,1.9
"AL5  2",4676,100.0,76,1.6
"AL5  3",4659,100.0,93,2.0
"AL5  4",6450,100.0,178,2.8
"AL5  5",8365,100.0,286,3.4
"AL6  0",6434,100.0,104,1.6
"AL6  9",4788,100.0,74,1.5
"AL7  1",5761,100.0,198,3.4
"AL7  2",7395,100.0,240,3.2
"AL7  3",10114,100.0,370,3.7
"AL7  4",10620,100.0,313,2.9
"AL8  6",5869,100.0,151,2.6
"AL8  7",7383,100.0,171,2.3
"AL9  5",2085,100.0,96,4.6
"AL9  6",1427,100.0,27,1.9
"AL9  7",6897,100.0,183,2.7
"B1   1",4099,100.0,328,8.0
"B1   2",2897,100.0,236,8.1
"B1   3",993,100.0,84,8.5
"B10  0",8206,100.0,463,5.6
"B10  9",17702,100.0,1190,6.7
"B11  1",11688,100.0,343,2.9
"B11  2",3479,100.0,141,4.1
"B11  3",17242,100.0,670,3.9
"B11  4",12295,100.0,409,3.3
"B12  0",4129,100.0,280,6.8
"B12  8",8748,100.0,271,3.1
"B12  9",7878,100.0,276,3.5
"B13  0",13458,100.0,255,1.9
"B13  8",7678,100.0,230,3.0
"B13  9",15681,100.0,447,2.9
"B14  4",12710,100.0,171,1.3
"B14  5",10926,100.0,152,1.4
"B14  6",12143,100.0,164,1.4
"B14  7",7634,100.0,181,2.4
"B15  1",2582,100.0,179,6.9
