postcode sector,EUpassport2011,%
AL1  1,253.0,4.6
AL1  2,301.0,4.6
AL1  3,282.0,6.7
AL1  4,369.0,3.8
AL1  5,671.0,6.6
AL10 0,1003.0,10.1
AL10 8,762.0,6.9
AL10 9,912.0,6.1
AL2  1,477.0,5.0
AL2  2,119.0,1.9
AL2  3,130.0,1.6
AL3  4,185.0,3.3
AL3  5,385.0,4.4
AL3  6,131.0,3.1
AL3  7,94.0,1.8
AL3  8,59.0,1.3
AL4  0,295.0,3.2
AL4  8,106.0,1.6
AL4  9,351.0,3.1
AL5  1,114.0,1.9
AL5  2,76.0,1.6
AL5  3,93.0,2.0
AL5  4,178.0,2.8
AL5  5,286.0,3.4
AL6  0,104.0,1.6
AL6  9,74.0,1.5
AL7  1,198.0,3.4
AL7  2,240.0,3.2
AL7  3,370.0,3.7
AL7  4,313.0,2.9
AL8  6,151.0,2.6
AL8  7,171.0,2.3
AL9  5,96.0,4.6
AL9  6,27.0,1.9
AL9  7,183.0,2.7
B1   1,328.0,8.0
B1   2,236.0,8.1
B1   3,84.0,8.5
B10  0,463.0,5.6
B10  9,1190.0,6.7
B11  1,343.0,2.9
B11  2,141.0,4.1
B11  3,670.0,3.9
B11  4,409.0,3.3
B12  0,280.0,6.8
B12  8,271.0,3.1
B12  9,276.0,3.5
B13  0,255.0,1.9
B13  8,230.0,3.0
B13  9,447.0,2.9
B14  4,171.0,1.3
B14  5,152.0,1.4
B14  6,164.0,1.4
B14  7,181.0,2.4
B15  1,179.0,6.9
B15  2,424.0,4.4
B15  3,196.0,3.3
B16  0,825.0,8.2
B16  8,590.0,8.7
B16  9,627.0,9.0
B17  0,375.0,4.2
B17  8,449.0,4.9
B17  9,181.0,2.4
B18  4,381.0,5.7
B18  5,350.0,6.8
B18  6,138.0,7.3
B18  7,156.0,6.0
B19  1,274.0,3.1
B19  2,449.0,6.0
B19  3,268.0,7.2
B2   4,38.0,8.4
B2   5,25.0,15.2
B20  1,308.0,3.7
B20  2,528.0,4.9
B20  3,630.0,4.2
B21  0,624.0,6.2
B21  8,796.0,8.3
B21  9,680.0,6.3
B23  5,417.0,2.7
B23  6,667.0,6.0
B23  7,733.0,4.4
B24  0,187.0,1.8
B24  8,403.0,5.0
B24  9,333.0,3.2
B25  8,569.0,3.6
B26  1,174.0,1.6
B26  2,105.0,0.9
B26  3,179.0,1.7
B27  6,461.0,4.8
B27  7,614.0,4.0
B28  0,176.0,1.2
B28  8,170.0,2.2
B28  9,149.0,1.9
B29  4,96.0,1.6
B29  5,158.0,1.5
B29  6,477.0,3.5
B29  7,381.0,3.1
B3   1,136.0,5.6
B3   2,11.0,8.3
B30  1,143.0,1.4
B30  2,215.0,1.9
B30  3,158.0,2.1
B31  1,137.0,1.2
B31  2,145.0,1.2
B31  3,78.0,0.7
B31  4,78.0,0.8
B31  5,101.0,1.0
B32  1,137.0,1.5
B32  2,341.0,2.8
B32  3,124.0,1.0
B32  4,32.0,0.6
B33  0,160.0,1.5
B33  8,391.0,3.3
B33  9,201.0,1.7
B34  6,140.0,1.3
B34  7,64.0,0.8
B35  6,43.0,1.0
B35  7,43.0,0.8
B36  0,40.0,0.3
B36  8,370.0,2.9
B36  9,46.0,0.5
B37  5,72.0,0.7
B37  6,109.0,0.9
B37  7,72.0,0.5
B38  0,22.0,1.1
B38  8,77.0,0.8
B38  9,119.0,1.2
B4   6,31.0,9.1
B4   7,428.0,9.9
B42  1,338.0,3.1
B42  2,251.0,1.9
B43  5,243.0,2.2
B43  6,47.0,0.7
B43  7,60.0,0.5
B44  0,302.0,2.0
B44  8,168.0,1.7
B44  9,127.0,1.1
B45  0,27.0,0.4
B45  8,73.0,0.7
B45  9,65.0,0.5
B46  1,82.0,1.1
B46  2,3.0,0.1
B46  3,29.0,1.1
B47  5,21.0,0.3
B47  6,11.0,0.4
B48  7,21.0,0.4
B49  5,56.0,1.3
B49  6,54.0,0.9
B5   4,149.0,7.0
B5   5,72.0,8.3
B5   6,27.0,12.2
B5   7,497.0,5.7
B50  4,59.0,1.1
B6   4,89.0,8.2
B6   5,215.0,4.9
B6   6,303.0,2.6
B6   7,132.0,4.8
B60  1,44.0,0.6
B60  2,37.0,0.5
B60  3,54.0,0.6
B60  4,33.0,1.0
B61  0,50.0,0.5
B61  7,92.0,1.8
B61  8,48.0,0.8
B61  9,10.0,0.4
B62  0,44.0,0.7
B62  8,55.0,0.7
B62  9,53.0,0.5
B63  1,7.0,0.1
B63  2,83.0,0.7
B63  3,43.0,0.5
B63  4,88.0,0.8
B64  5,23.0,0.6
B64  6,63.0,0.9
B64  7,41.0,0.7
B65  0,82.0,1.4
B65  8,55.0,0.7
B65  9,101.0,1.0
B66  1,137.0,3.8
B66  2,70.0,4.4
B66  3,458.0,6.3
B66  4,769.0,8.7
B67  5,354.0,3.6
B67  6,365.0,3.5
B67  7,499.0,5.0
B68  0,147.0,1.6
B68  8,278.0,2.9
B68  9,188.0,1.6
B69  1,358.0,2.4
B69  2,189.0,3.7
B69  3,133.0,3.7
B69  4,226.0,4.3
B7   4,326.0,9.1
B7   5,408.0,8.2
B70  0,383.0,5.5
B70  6,696.0,10.1
B70  7,182.0,6.0
B70  8,300.0,7.7
B70  9,476.0,6.6
B71  1,450.0,5.3
B71  2,276.0,2.7
B71  3,264.0,3.1
B71  4,172.0,4.7
B72  1,95.0,1.0
B73  5,178.0,1.3
B73  6,83.0,0.9
B74  2,84.0,0.8
B74  3,64.0,0.6
B74  4,91.0,0.8
B75  5,70.0,0.9
B75  6,47.0,0.5
B75  7,104.0,1.1
B76  0,0.0,0.0
B76  1,99.0,0.8
B76  2,65.0,1.0
B76  9,28.0,0.9
B77  1,84.0,0.8
B77  2,196.0,1.3
B77  3,91.0,1.0
B77  4,206.0,1.5
B77  5,100.0,1.1
B78  1,55.0,0.5
B78  2,26.0,0.6
B78  3,78.0,0.8
B79  0,14.0,0.4
B79  7,182.0,3.0
B79  8,134.0,1.3
B79  9,27.0,1.2
B8   1,431.0,4.1
B8   2,438.0,2.9
B8   3,709.0,4.4
B80  7,77.0,1.1
B9   4,327.0,7.5
B9   5,1324.0,6.4
B90  1,129.0,1.2
B90  2,67.0,0.5
B90  3,96.0,0.9
B90  4,129.0,1.1
B91  1,94.0,0.9
B91  2,171.0,1.5
B91  3,146.0,1.4
B92  0,40.0,1.0
B92  7,188.0,1.5
B92  8,93.0,0.7
B92  9,83.0,1.0
B93  0,41.0,1.2
B93  8,63.0,0.8
B93  9,77.0,0.9
B94  5,29.0,0.7
B94  6,16.0,0.5
B95  5,34.0,0.9
B95  6,16.0,0.9
B96  6,43.0,0.8
B97  4,280.0,4.9
B97  5,145.0,0.9
B97  6,339.0,3.1
B98  0,539.0,3.7
B98  7,806.0,4.1
B98  8,475.0,5.0
B98  9,255.0,4.0
BA1  1,204.0,10.9
BA1  2,451.0,6.9
BA1  3,268.0,3.5
BA1  4,120.0,2.3
BA1  5,246.0,5.4
BA1  6,309.0,3.7
BA1  7,101.0,1.8
BA1  8,18.0,2.0
BA1  9,3.0,1.2
BA10 0,55.0,1.5
BA11 1,149.0,3.0
BA11 2,190.0,1.7
BA11 3,126.0,2.5
BA11 4,131.0,2.1
BA11 5,91.0,2.7
BA11 6,16.0,0.9
BA12 0,91.0,1.6
BA12 6,31.0,0.7
BA12 7,30.0,1.0
BA12 8,230.0,2.6
BA12 9,141.0,2.2
BA13 2,27.0,2.1
BA13 3,176.0,1.4
BA13 4,45.0,0.7
BA14 0,469.0,3.8
BA14 6,78.0,1.3
BA14 7,540.0,3.6
BA14 8,431.0,7.4
BA14 9,210.0,2.4
BA15 1,108.0,1.2
BA15 2,40.0,1.0
BA16 0,249.0,2.4
BA16 9,39.0,1.5
BA2  0,36.0,0.8
BA2  1,358.0,2.8
BA2  2,344.0,3.3
BA2  3,424.0,4.5
BA2  4,309.0,4.9
BA2  5,200.0,2.8
BA2  6,264.0,4.3
BA2  7,285.0,4.0
BA2  8,118.0,1.5
BA2  9,43.0,2.1
BA20 1,222.0,10.2
BA20 2,218.0,2.5
BA21 3,385.0,2.5
BA21 4,451.0,5.1
BA21 5,277.0,2.9
BA22 7,27.0,0.7
BA22 8,74.0,0.8
BA22 9,26.0,0.5
BA3  2,112.0,1.1
BA3  3,103.0,1.0
BA3  4,93.0,1.2
BA3  5,47.0,0.7
BA4  4,105.0,2.0
BA4  5,395.0,4.8
BA4  6,50.0,1.2
BA5  1,75.0,1.2
BA5  2,155.0,2.1
BA5  3,63.0,1.5
BA6  8,128.0,2.0
BA6  9,145.0,2.3
BA7  7,31.0,0.9
BA8  0,48.0,1.2
BA9  8,20.0,1.3
BA9  9,217.0,3.8
BB1  1,301.0,2.4
BB1  2,235.0,2.6
BB1  3,89.0,3.2
BB1  4,41.0,0.6
BB1  5,188.0,2.4
BB1  6,36.0,1.0
BB1  7,49.0,1.1
BB1  8,175.0,1.8
BB1  9,85.0,0.8
BB10 1,156.0,1.8
BB10 2,70.0,0.7
BB10 3,72.0,0.9
BB10 4,73.0,0.7
BB11 2,59.0,1.1
BB11 3,63.0,1.5
BB11 4,107.0,1.8
BB11 5,102.0,1.5
BB12 0,94.0,1.2
BB12 6,43.0,0.5
BB12 7,34.0,0.5
BB12 8,74.0,0.9
BB12 9,9.0,0.3
BB18 5,121.0,1.6
BB18 6,141.0,1.5
BB2  1,237.0,4.2
BB2  2,121.0,2.7
BB2  3,293.0,3.0
BB2  4,189.0,1.2
BB2  5,28.0,0.4
BB2  6,219.0,2.1
BB2  7,56.0,0.8
BB3  0,92.0,1.0
BB3  1,79.0,1.2
BB3  2,118.0,1.3
BB3  3,253.0,2.7
BB4  4,39.0,0.5
BB4  5,68.0,1.1
BB4  6,61.0,0.8
BB4  7,54.0,0.9
BB4  8,33.0,0.4
BB4  9,35.0,0.6
BB5  0,246.0,2.5
BB5  1,210.0,4.2
BB5  2,109.0,1.4
BB5  3,41.0,0.5
BB5  4,91.0,1.0
BB5  5,127.0,1.1
BB5  6,148.0,1.4
BB6  7,112.0,1.0
BB6  8,36.0,0.9
BB7  1,159.0,2.1
BB7  2,52.0,0.7
BB7  3,12.0,0.4
BB7  4,21.0,0.4
BB7  9,121.0,1.4
BB8  0,72.0,1.2
BB8  7,32.0,0.7
BB8  8,40.0,0.8
BB8  9,72.0,1.0
BB9  0,371.0,3.0
BB9  5,79.0,1.2
BB9  6,19.0,0.4
BB9  7,291.0,4.3
BB9  8,205.0,2.5
BB9  9,292.0,4.5
BD1  1,89.0,23.2
BD1  2,76.0,20.5
BD1  3,102.0,6.5
BD1  4,178.0,23.7
BD1  5,140.0,18.5
BD10 0,205.0,2.3
BD10 8,118.0,1.1
BD10 9,94.0,1.5
BD11 1,34.0,0.6
BD11 2,12.0,0.2
BD12 0,41.0,0.8
BD12 7,14.0,0.7
BD12 8,107.0,2.2
BD12 9,43.0,0.9
BD13 1,16.0,0.4
BD13 2,48.0,0.6
BD13 3,59.0,0.9
BD13 4,15.0,0.4
BD13 5,16.0,0.5
BD14 6,108.0,1.2
BD15 0,14.0,0.3
BD15 7,235.0,2.9
BD15 9,36.0,1.2
BD16 1,156.0,1.7
BD16 2,40.0,1.2
BD16 3,48.0,0.8
BD16 4,201.0,2.8
BD17 5,89.0,1.1
BD17 6,42.0,0.7
BD17 7,56.0,1.6
BD18 1,98.0,1.4
BD18 2,200.0,2.9
BD18 3,211.0,3.9
BD18 4,128.0,1.6
BD19 3,81.0,1.4
BD19 4,68.0,0.7
BD19 5,30.0,1.1
BD19 6,15.0,0.4
BD2  1,144.0,1.8
BD2  2,56.0,1.2
BD2  3,103.0,1.3
BD2  4,132.0,1.7
BD20 0,65.0,1.1
BD20 5,51.0,0.7
BD20 6,123.0,1.7
BD20 7,46.0,0.9
BD20 8,54.0,1.0
BD20 9,28.0,0.7
BD21 1,72.0,1.2
BD21 2,268.0,3.7
BD21 3,187.0,4.8
BD21 4,212.0,2.9
BD21 5,78.0,3.0
BD22 0,38.0,0.9
BD22 6,127.0,1.7
BD22 7,86.0,0.9
BD22 8,16.0,0.4
BD22 9,30.0,0.7
BD23 1,138.0,2.3
BD23 2,191.0,2.3
BD23 3,30.0,0.7
BD23 4,18.0,0.5
BD23 5,29.0,0.8
BD23 6,49.0,1.2
BD24 0,22.0,1.1
BD24 9,34.0,1.1
BD3  0,289.0,3.0
BD3  7,205.0,2.7
BD3  8,280.0,3.1
BD3  9,167.0,2.2
BD4  0,302.0,4.5
BD4  6,264.0,3.6
BD4  7,288.0,6.0
BD4  8,275.0,4.0
BD4  9,192.0,3.4
BD5  0,682.0,9.6
BD5  7,725.0,11.5
BD5  8,359.0,4.6
BD5  9,380.0,3.6
BD6  1,108.0,1.1
BD6  2,88.0,1.2
BD6  3,187.0,1.4
BD7  1,789.0,12.9
BD7  2,594.0,5.0
BD7  3,580.0,6.7
BD7  4,206.0,2.4
BD8  0,407.0,5.1
BD8  7,390.0,5.8
BD8  8,166.0,2.5
BD8  9,707.0,6.9
BD9  4,377.0,3.9
BD9  5,267.0,2.4
BD9  6,422.0,4.8
BH1  1,334.0,12.6
BH1  2,157.0,14.3
BH1  3,742.0,11.5
BH1  4,1458.0,16.0
BH10 4,119.0,2.9
BH10 5,123.0,1.7
BH10 6,68.0,1.3
BH10 7,60.0,1.6
BH11 8,231.0,2.3
BH11 9,120.0,1.2
BH12 1,240.0,3.8
BH12 2,271.0,3.4
BH12 3,219.0,2.7
BH12 4,219.0,2.5
BH12 5,120.0,2.8
BH13 6,128.0,2.8
BH13 7,117.0,3.1
BH14 0,200.0,2.9
BH14 8,166.0,1.8
BH14 9,216.0,3.0
BH15 1,416.0,6.7
BH15 2,271.0,4.5
BH15 3,227.0,2.0
BH15 4,207.0,2.2
BH16 5,135.0,1.2
BH16 6,35.0,0.7
BH17 7,125.0,1.4
BH17 8,109.0,1.4
BH17 9,125.0,1.9
BH18 8,36.0,0.8
BH18 9,59.0,0.9
BH19 1,71.0,1.7
BH19 2,86.0,1.6
BH19 3,20.0,1.0
BH2  5,858.0,19.2
BH2  6,367.0,9.5
BH20 4,44.0,0.8
BH20 5,52.0,1.3
BH20 6,67.0,1.1
BH20 7,32.0,0.7
BH21 1,98.0,0.9
BH21 2,71.0,0.8
BH21 3,90.0,0.8
BH21 4,14.0,0.6
BH21 5,19.0,0.8
BH21 6,15.0,1.0
BH21 7,27.0,0.7
BH21 8,4.0,0.8
BH22 0,55.0,0.7
BH22 8,117.0,1.1
BH22 9,53.0,0.6
BH23 1,79.0,1.4
BH23 2,148.0,1.2
BH23 3,98.0,1.1
BH23 4,76.0,0.8
BH23 5,78.0,1.1
BH23 6,4.0,0.8
BH23 7,39.0,0.9
BH23 8,43.0,0.9
BH24 1,142.0,1.4
BH24 2,72.0,1.0
BH24 3,63.0,1.3
BH24 4,12.0,0.9
BH25 5,157.0,1.3
BH25 6,137.0,2.1
BH25 7,99.0,1.5
BH3  7,296.0,5.2
BH31 6,65.0,0.6
BH31 7,20.0,0.6
BH4  8,262.0,4.9
BH4  9,278.0,6.8
BH5  1,935.0,14.6
BH5  2,399.0,8.2
BH6  3,325.0,3.6
BH6  4,52.0,1.4
BH6  5,277.0,2.9
BH7  6,475.0,5.8
BH7  7,102.0,2.8
BH8  0,174.0,2.4
BH8  8,1245.0,9.9
BH8  9,285.0,3.5
BH9  1,567.0,4.5
BH9  2,301.0,3.4
BH9  3,183.0,1.8
BL0  0,25.0,0.4
BL0  9,68.0,0.6
BL1  1,30.0,7.3
BL1  2,277.0,6.5
BL1  3,268.0,2.7
BL1  4,323.0,3.6
BL1  5,186.0,1.5
BL1  6,54.0,0.6
BL1  7,51.0,0.6
BL1  8,269.0,2.5
BL2  1,144.0,3.7
BL2  2,116.0,1.4
BL2  3,91.0,1.1
BL2  4,23.0,0.5
BL2  5,267.0,2.9
BL2  6,111.0,1.0
BL3  1,74.0,0.6
BL3  2,366.0,3.9
BL3  3,459.0,3.1
BL3  4,389.0,2.7
BL3  5,406.0,5.1
BL3  6,192.0,3.5
BL4  0,164.0,1.6
BL4  7,101.0,1.5
BL4  8,86.0,1.1
BL4  9,120.0,1.4
BL5  1,6.0,0.2
BL5  2,93.0,0.7
BL5  3,64.0,0.5
BL6  4,38.0,0.6
BL6  5,62.0,0.6
BL6  6,83.0,1.2
BL6  7,46.0,0.7
BL7  0,19.0,0.6
BL7  8,3.0,0.4
BL7  9,64.0,0.6
BL8  1,158.0,1.2
BL8  2,80.0,0.8
BL8  3,39.0,0.5
BL8  4,30.0,0.7
BL9  0,116.0,4.6
BL9  5,100.0,1.5
BL9  6,153.0,1.8
BL9  7,269.0,2.7
BL9  8,123.0,1.3
BL9  9,436.0,4.0
BN1  1,269.0,13.4
BN1  2,737.0,14.9
BN1  3,939.0,9.2
BN1  4,743.0,8.4
BN1  5,427.0,4.2
BN1  6,738.0,4.3
BN1  7,341.0,4.0
BN1  8,302.0,2.1
BN1  9,372.0,4.4
BN10 7,206.0,2.3
BN10 8,227.0,2.4
BN11 1,292.0,6.3
BN11 2,366.0,4.0
BN11 3,292.0,7.0
BN11 4,390.0,4.4
BN11 5,144.0,2.2
BN12 4,98.0,1.3
BN12 5,56.0,1.3
BN12 6,129.0,1.6
BN13 1,151.0,1.9
BN13 2,135.0,1.3
BN13 3,128.0,1.4
BN14 0,80.0,1.4
BN14 7,308.0,2.9
BN14 8,130.0,1.9
BN14 9,118.0,1.6
BN15 0,135.0,1.6
BN15 8,108.0,1.4
BN15 9,115.0,1.0
BN16 1,75.0,1.1
BN16 2,94.0,1.4
BN16 3,113.0,1.4
BN16 4,120.0,1.8
BN17 5,548.0,8.4
BN17 6,322.0,2.4
BN17 7,400.0,4.9
BN18 0,160.0,1.9
BN18 9,74.0,1.5
BN2  0,399.0,5.7
BN2  1,815.0,8.1
BN2  3,735.0,5.9
BN2  4,651.0,4.0
BN2  5,642.0,5.0
BN2  6,152.0,1.6
BN2  7,157.0,3.6
BN2  8,199.0,2.3
BN2  9,646.0,5.6
BN20 0,30.0,1.9
BN20 7,235.0,4.0
BN20 8,214.0,2.6
BN20 9,58.0,1.1
BN21 1,189.0,2.7
BN21 2,473.0,5.2
BN21 3,899.0,16.3
BN21 4,428.0,10.0
BN22 0,198.0,2.1
BN22 7,187.0,3.9
BN22 8,557.0,5.4
BN22 9,203.0,2.7
BN23 5,272.0,4.3
BN23 6,187.0,2.8
BN23 7,120.0,1.7
BN23 8,179.0,2.2
BN24 5,59.0,0.9
BN24 6,36.0,1.2
BN25 1,125.0,2.7
BN25 2,98.0,1.4
BN25 3,73.0,0.8
BN25 4,35.0,1.2
BN26 5,76.0,1.2
BN26 6,49.0,1.0
BN27 1,72.0,1.2
BN27 2,53.0,1.0
BN27 3,161.0,1.5
BN27 4,54.0,1.2
BN3  1,1152.0,11.0
BN3  2,599.0,8.7
BN3  3,1113.0,8.8
BN3  4,369.0,4.7
BN3  5,576.0,4.8
BN3  6,527.0,4.6
BN3  7,332.0,3.2
BN3  8,203.0,2.5
BN41 1,214.0,3.3
BN41 2,193.0,1.3
BN42 4,162.0,1.6
BN43 5,197.0,1.7
BN43 6,155.0,1.4
BN44 3,117.0,1.2
BN45 7,26.0,3.9
BN5  9,107.0,1.5
BN6  8,137.0,1.6
BN6  9,119.0,1.4
BN7  1,225.0,2.6
BN7  2,196.0,2.4
BN7  3,88.0,2.1
BN8  4,108.0,1.8
BN8  5,78.0,1.3
BN8  6,61.0,1.4
BN9  0,56.0,1.4
BN9  9,227.0,2.4
BR1  1,33.0,6.9
BR1  2,373.0,3.2
BR1  3,622.0,4.9
BR1  4,664.0,4.7
BR1  5,888.0,5.2
BR2  0,608.0,5.2
BR2  6,40.0,1.7
BR2  7,159.0,1.7
BR2  8,295.0,2.8
BR2  9,404.0,3.7
BR3  1,414.0,4.6
BR3  3,325.0,2.5
BR3  4,512.0,4.0
BR3  5,349.0,5.2
BR3  6,181.0,3.2
BR4  0,173.0,1.9
BR4  9,189.0,1.9
BR5  1,260.0,2.2
BR5  2,298.0,2.3
BR5  3,330.0,3.1
BR5  4,261.0,2.5
BR6  0,232.0,2.5
BR6  6,74.0,1.1
BR6  7,107.0,1.4
BR6  8,152.0,1.8
BR6  9,232.0,1.6
BR7  5,196.0,3.0
BR7  6,285.0,2.7
BR8  7,194.0,1.3
BR8  8,91.0,1.3
BS1  1,163.0,13.5
BS1  2,23.0,4.2
BS1  3,326.0,13.8
BS1  4,53.0,10.0
BS1  5,300.0,9.5
BS1  6,296.0,7.1
BS10 5,469.0,4.9
BS10 6,399.0,3.9
BS10 7,354.0,4.5
BS11 0,513.0,5.4
BS11 9,319.0,4.1
BS13 0,71.0,0.9
BS13 7,146.0,1.8
BS13 8,112.0,1.5
BS13 9,83.0,1.3
BS14 0,79.0,0.9
BS14 8,70.0,0.9
BS14 9,252.0,2.2
BS15 1,328.0,2.7
BS15 3,80.0,0.9
BS15 4,143.0,1.3
BS15 8,157.0,2.1
BS15 9,89.0,1.1
BS16 1,324.0,2.7
BS16 2,332.0,3.7
BS16 3,362.0,5.3
BS16 4,289.0,3.1
BS16 5,252.0,2.5
BS16 6,107.0,1.0
BS16 7,189.0,2.4
BS16 9,103.0,1.0
BS2  0,365.0,12.5
BS2  8,493.0,8.3
BS2  9,464.0,6.9
BS20 0,51.0,1.1
BS20 6,101.0,1.3
BS20 7,190.0,1.7
BS20 8,41.0,0.7
BS21 5,96.0,2.0
BS21 6,136.0,1.5
BS21 7,107.0,1.1
BS22 6,115.0,1.4
BS22 7,160.0,1.5
BS22 8,205.0,1.9
BS22 9,62.0,0.7
BS23 1,419.0,8.5
BS23 2,356.0,3.9
BS23 3,455.0,3.7
BS23 4,191.0,2.5
BS24 0,16.0,0.8
BS24 6,0.0,0.0
BS24 7,249.0,3.0
BS24 8,10.0,0.5
BS24 9,42.0,0.7
BS25 1,66.0,1.4
BS25 5,19.0,1.2
BS26 2,46.0,0.9
BS27 3,66.0,0.9
BS28 4,24.0,0.7
BS29 6,27.0,0.9
BS3  1,455.0,5.1
BS3  2,133.0,2.2
BS3  3,327.0,5.3
BS3  4,536.0,7.0
BS3  5,335.0,4.2
BS30 5,36.0,0.7
BS30 6,15.0,0.4
BS30 7,41.0,1.1
BS30 8,77.0,0.7
BS30 9,38.0,0.5
BS31 1,46.0,0.6
BS31 2,74.0,0.9
BS31 3,46.0,1.1
BS32 0,503.0,6.8
BS32 4,57.0,1.3
BS32 8,311.0,3.7
BS32 9,293.0,6.3
BS34 5,280.0,3.4
BS34 6,136.0,2.2
BS34 7,351.0,5.0
BS34 8,195.0,2.3
BS35 1,108.0,1.6
BS35 2,104.0,1.6
BS35 3,25.0,0.8
BS35 4,90.0,1.8
BS35 5,9.0,1.4
BS36 1,41.0,0.7
BS36 2,87.0,0.9
BS37 4,146.0,1.8
BS37 5,163.0,2.1
BS37 6,46.0,0.6
BS37 7,78.0,1.1
BS37 8,82.0,1.3
BS37 9,3.0,0.4
BS39 4,13.0,0.5
BS39 5,18.0,0.4
BS39 6,34.0,1.1
BS39 7,30.0,0.6
BS4  1,458.0,3.5
BS4  2,403.0,4.1
BS4  3,488.0,5.5
BS4  4,515.0,4.2
BS4  5,87.0,2.3
BS40 5,51.0,1.1
BS40 6,14.0,0.6
BS40 7,13.0,0.8
BS40 8,29.0,0.8
BS40 9,2.0,0.3
BS41 8,7.0,0.8
BS41 9,79.0,1.5
BS48 1,52.0,0.9
BS48 2,64.0,0.9
BS48 3,46.0,0.8
BS48 4,43.0,0.8
BS49 4,69.0,0.8
BS49 5,34.0,1.0
BS5  0,908.0,10.4
BS5  6,1044.0,7.9
BS5  7,591.0,5.4
BS5  8,488.0,5.1
BS5  9,1100.0,11.1
BS6  5,524.0,4.9
BS6  6,588.0,4.5
BS6  7,392.0,3.9
BS7  0,935.0,6.1
BS7  8,351.0,3.4
BS7  9,725.0,4.7
BS8  1,329.0,6.8
BS8  2,381.0,5.3
BS8  3,196.0,3.8
BS8  4,378.0,4.3
BS9  1,303.0,3.6
BS9  2,151.0,2.3
BS9  3,226.0,2.6
BS9  4,229.0,3.1
CA1  1,152.0,6.9
CA1  2,520.0,4.7
CA1  3,216.0,2.0
CA10 1,19.0,0.3
CA10 2,28.0,0.9
CA10 3,29.0,0.6
CA11 0,66.0,1.5
CA11 7,174.0,4.9
CA11 8,124.0,1.6
CA11 9,114.0,1.8
CA12 4,91.0,1.9
CA12 5,111.0,3.4
CA13 0,69.0,0.8
CA13 9,47.0,0.7
CA14 1,20.0,0.2
CA14 2,57.0,1.1
CA14 3,20.0,0.2
