
"LC1117EW - Sex by age"
"ONS Crown Copyright Reserved [from Nomis on 28 April 2019]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Sex        :","Females"

"postcode sector","All categories: Age","Age 30 to 34","Age 35 to 39","Age 40 to 44"

"AL1  1",2738,294,265,209
"AL1  2",3340,282,256,250
"AL1  3",2058,300,184,114
"AL1  4",4954,339,374,387
"AL1  5",5097,486,464,365
"AL10 0",4896,362,328,272
"AL10 8",5350,323,262,270
"AL10 9",7327,446,393,343
"AL2  1",4846,369,389,376
"AL2  2",3072,179,232,218
"AL2  3",4090,174,238,299
"AL3  4",2802,178,194,216
"AL3  5",4631,400,466,395
"AL3  6",2211,143,157,171
"AL3  7",2762,126,232,228
"AL3  8",2226,159,179,193
"AL4  0",4591,321,383,472
"AL4  8",3401,158,249,254
"AL4  9",5888,345,405,439
"AL5  1",3074,176,251,256
"AL5  2",2406,74,143,182
"AL5  3",2387,112,198,217
"AL5  4",3329,191,248,291
"AL5  5",4271,269,379,422
"AL6  0",3279,100,164,276
"AL6  9",2448,114,131,176
"AL7  1",2972,226,226,218
"AL7  2",3680,259,254,261
"AL7  3",5272,469,394,395
"AL7  4",5464,484,434,404
"AL8  6",3119,167,215,200
"AL8  7",3888,181,246,288
"AL9  5",1071,69,54,69
"AL9  6",817,29,47,35
"AL9  7",3569,153,195,248
"B1   1",1759,205,81,34
"B1   2",1313,140,72,52
"B1   3",412,66,33,9
"B10  0",3970,323,262,229
"B10  9",8902,696,595,549
"B11  1",5699,461,328,346
"B11  2",1731,169,119,91
"B11  3",8634,803,644,525
"B11  4",6085,457,375,382
"B12  0",1902,193,131,108
"B12  8",4305,363,294,252
"B12  9",3903,291,238,242
"B13  0",6993,466,430,471
"B13  8",3599,337,256,242
"B13  9",7724,605,543,516
"B14  4",6504,484,447,458
"B14  5",5625,357,344,399
"B14  6",6290,454,429,527
"B14  7",3894,331,310,364
"B15  1",1134,83,43,58
"B15  2",4881,294,239,214
"B15  3",3087,177,145,163
"B16  0",4918,410,353,311
"B16  8",3135,412,245,156
"B16  9",3266,339,216,187
"B17  0",4550,399,281,245
"B17  8",4435,338,324,273
"B17  9",4014,378,311,300
"B18  4",3097,306,225,196
"B18  5",2563,263,181,186
"B18  6",873,104,51,41
"B18  7",1363,90,82,100
"B19  1",4351,384,327,257
"B19  2",3826,304,294,277
"B19  3",1778,148,113,93
"B2   4",187,20,8,6
"B2   5",76,12,4,2
"B20  1",4239,315,244,258
"B20  2",5429,435,363,368
"B20  3",7231,573,470,428
"B21  0",4966,447,353,347
"B21  8",4877,372,361,340
"B21  9",5200,400,375,339
"B23  5",7957,599,498,509
"B23  6",5582,522,410,404
"B23  7",8487,617,605,624
"B24  0",5405,372,322,410
"B24  8",4083,282,264,302
"B24  9",5229,375,306,404
"B25  8",8231,628,599,507
"B26  1",5490,340,331,424
"B26  2",5855,364,376,456
"B26  3",5264,336,333,383
"B27  6",4780,441,372,341
"B27  7",7839,577,514,590
"B28  0",7413,527,537,554
"B28  8",3963,268,258,272
"B28  9",3935,301,245,266
"B29  4",3156,190,173,196
"B29  5",5367,385,371,405
"B29  6",7217,383,259,241
"B29  7",6133,311,225,221
"B3   1",1016,176,45,51
"B3   2",55,9,3,4
"B30  1",5397,254,321,398
"B30  2",5905,517,467,493
"B30  3",3839,361,310,296
"B31  1",6014,443,415,415
"B31  2",6189,392,391,456
"B31  3",5701,396,395,436
"B31  4",5129,362,321,339
"B31  5",5025,364,383,405
"B32  1",4891,356,374,351
"B32  2",6387,511,445,440
"B32  3",6299,454,433,415
"B32  4",2711,187,168,179
"B33  0",5483,328,344,391
"B33  8",6103,429,363,351
"B33  9",6360,487,494,450
"B34  6",5846,400,357,378
"B34  7",4351,302,256,312
"B35  6",2224,116,138,186
"B35  7",3165,213,214,239
"B36  0",6570,320,392,478
"B36  8",6666,439,434,477
"B36  9",4805,217,263,363
"B37  5",5189,290,286,434
"B37  6",6091,363,371,433
"B37  7",7141,418,475,543
"B38  0",1099,50,44,65
"B38  8",4725,265,296,341
"B38  9",5317,372,357,367
"B4   6",120,7,6,2
"B4   7",2196,29,8,11
"B42  1",5674,406,350,388
"B42  2",6957,446,480,534
"B43  5",5633,343,359,418
"B43  6",3338,176,200,250
"B43  7",5652,282,331,464
"B44  0",8024,537,515,590
"B44  8",5155,309,314,364
"B44  9",6123,387,365,504
"B45  0",3694,297,237,194
"B45  8",5425,320,354,416
"B45  9",6342,367,444,517
"B46  1",3700,220,252,307
"B46  2",1044,46,54,94
"B46  3",1416,61,75,96
"B47  5",3385,142,170,230
"B47  6",1417,53,86,98
"B48  7",2975,169,171,225
"B49  5",2198,93,114,185
"B49  6",3020,122,162,202
"B5   4",898,108,40,28
"B5   5",474,9,2,4
"B5   6",104,10,1,3
"B5   7",4361,335,211,222
"B50  4",2742,138,185,248
"B6   4",571,29,49,39
"B6   5",2169,188,152,131
"B6   6",5632,482,392,324
"B6   7",1367,126,104,74
"B60  1",3937,140,243,307
"B60  2",4106,236,322,355
"B60  3",4590,333,299,355
"B60  4",1663,64,90,117
"B61  0",5140,311,408,406
"B61  7",2590,124,178,209
"B61  8",3019,164,190,223
"B61  9",1230,40,71,119
"B62  0",3215,142,191,219
"B62  8",4046,207,244,288
"B62  9",5182,309,265,399
"B63  1",3047,127,172,224
"B63  2",6174,452,405,448
"B63  3",4016,236,237,286
"B63  4",5380,304,362,392
"B64  5",1915,131,98,157
"B64  6",3408,265,251,231
"B64  7",3075,144,184,251
"B65  0",2986,189,177,241
"B65  8",3967,228,259,337
"B65  9",5196,268,352,424
"B66  1",1851,161,114,132
"B66  2",818,75,56,43
"B66  3",3646,286,256,267
"B66  4",4429,405,336,242
"B67  5",5156,478,426,389
"B67  6",5412,417,336,408
"B67  7",4953,362,336,363
"B68  0",4792,247,294,345
"B68  8",4910,299,318,392
"B68  9",5997,356,391,450
"B69  1",7610,508,501,521
"B69  2",2593,198,161,201
"B69  3",1803,161,97,120
"B69  4",2580,208,188,181
"B7   4",1816,138,140,113
"B7   5",2558,216,179,152
"B70  0",3485,257,213,243
"B70  6",3299,248,221,173
"B70  7",1514,91,91,111
"B70  8",1921,131,124,118
"B70  9",3510,278,233,192
"B71  1",4426,300,314,347
"B71  2",5210,318,339,346
"B71  3",4333,247,231,310
"B71  4",1874,91,110,129
"B72  1",4911,255,276,335
"B73  5",6820,422,453,493
"B73  6",4876,236,283,327
"B74  2",5077,266,267,371
"B74  3",5825,212,300,418
"B74  4",5837,247,328,455
"B75  5",4169,258,312,330
"B75  6",4539,151,236,332
"B75  7",5090,332,374,370
"B76  0",193,7,15,11
"B76  1",6009,309,338,401
"B76  2",3365,196,246,320
"B76  9",1557,75,103,130
"B77  1",5385,326,381,470
"B77  2",7414,522,563,520
"B77  3",4522,221,304,383
"B77  4",7232,499,517,517
"B77  5",4528,349,327,333
"B78  1",5158,273,357,398
"B78  2",2225,108,138,174
"B78  3",4911,271,329,390
"B79  0",1621,66,105,150
"B79  7",3128,157,186,215
"B79  8",5466,268,347,386
"B79  9",1172,48,63,101
"B8   1",5260,424,397,332
"B8   2",7734,637,500,498
"B8   3",7931,664,554,499
"B80  7",3616,165,225,271
"B9   4",2153,194,158,149
"B9   5",10490,845,771,647
"B90  1",5358,394,381,425
"B90  2",6668,341,384,510
"B90  3",5361,268,363,450
"B90  4",5995,354,395,442
