postcode sector,Age 30 to 45,Age 30 to 45 %
AL1  1,768.0,0.28049671292914535
AL1  2,788.0,0.23592814371257484
AL1  3,598.0,0.29057337220602525
AL1  4,1100.0,0.22204279370205895
AL1  5,1315.0,0.25799489896017264
AL10 0,962.0,0.19648692810457516
AL10 8,855.0,0.15981308411214953
AL10 9,1182.0,0.1613211409853965
AL2  1,1134.0,0.23400742880726372
AL2  2,629.0,0.20475260416666666
AL2  3,711.0,0.17383863080684597
AL3  4,588.0,0.20985010706638116
AL3  5,1261.0,0.2722954005614338
AL3  6,471.0,0.2130257801899593
AL3  7,586.0,0.21216509775524983
AL3  8,531.0,0.238544474393531
AL4  0,1176.0,0.25615334349814856
AL4  8,661.0,0.1943546015877683
AL4  9,1189.0,0.20193614130434784
AL5  1,683.0,0.22218607677293428
AL5  2,399.0,0.1658354114713217
AL5  3,527.0,0.22077922077922077
AL5  4,730.0,0.2192850705917693
AL5  5,1070.0,0.250526808709904
AL6  0,540.0,0.16468435498627632
AL6  9,421.0,0.17197712418300654
AL7  1,670.0,0.22543741588156124
AL7  2,774.0,0.21032608695652175
AL7  3,1258.0,0.23861911987860396
AL7  4,1322.0,0.24194729136163984
AL8  6,582.0,0.18659826867585766
AL8  7,715.0,0.1838991769547325
AL9  5,192.0,0.1792717086834734
AL9  6,111.0,0.13586291309669524
AL9  7,596.0,0.16699355561782012
B1   1,320.0,0.18192154633314384
B1   2,264.0,0.20106626047220105
B1   3,108.0,0.2621359223300971
B10  0,814.0,0.20503778337531486
B10  9,1840.0,0.20669512469108065
B11  1,1135.0,0.1991577469731532
B11  2,379.0,0.21894858463316003
B11  3,1972.0,0.2283993514014362
B11  4,1214.0,0.19950698438783895
B12  0,432.0,0.22712933753943218
B12  8,909.0,0.21114982578397212
B12  9,771.0,0.1975403535741737
B13  0,1367.0,0.19548119548119547
B13  8,835.0,0.23200889135871075
B13  9,1664.0,0.2154324184360435
B14  4,1389.0,0.21356088560885608
B14  5,1100.0,0.19555555555555557
B14  6,1410.0,0.22416534181240064
B14  7,1005.0,0.2580893682588598
B15  1,184.0,0.16225749559082892
B15  2,747.0,0.1530424093423479
B15  3,485.0,0.15711046323291222
B16  0,1074.0,0.2183814558763725
B16  8,813.0,0.25933014354066986
B16  9,742.0,0.2271892222902633
B17  0,925.0,0.2032967032967033
B17  8,935.0,0.21082299887260428
B17  9,989.0,0.2463876432486298
B18  4,727.0,0.23474329996771068
B18  5,630.0,0.24580569644947328
B18  6,196.0,0.22451317296678122
B18  7,272.0,0.1995597945707997
B19  1,968.0,0.22247759135830844
B19  2,875.0,0.2286983795086252
B19  3,354.0,0.19910011248593926
B2   4,34.0,0.18181818181818182
B2   5,18.0,0.23684210526315788
B20  1,817.0,0.19273413540929465
B20  2,1166.0,0.21477251795910848
B20  3,1471.0,0.20342967777624119
B21  0,1147.0,0.23097060008054773
B21  8,1073.0,0.22001230264506869
B21  9,1114.0,0.21423076923076922
B23  5,1606.0,0.2018348623853211
B23  6,1336.0,0.23934073808670728
B23  7,1846.0,0.21750913161305527
B24  0,1104.0,0.20425531914893616
B24  8,848.0,0.2076904237080578
B24  9,1085.0,0.2074966532797858
B25  8,1734.0,0.2106669906451221
B26  1,1095.0,0.1994535519125683
B26  2,1196.0,0.20426985482493595
B26  3,1052.0,0.19984802431610943
B27  6,1154.0,0.24142259414225942
B27  7,1681.0,0.21444061742569206
B28  0,1618.0,0.2182652097666262
B28  8,798.0,0.20136260408781226
B28  9,812.0,0.20635324015247777
B29  4,559.0,0.17712294043092522
B29  5,1161.0,0.21632196757965344
B29  6,883.0,0.12235000692808647
B29  7,757.0,0.12343062122941464
B3   1,272.0,0.2677165354330709
B3   2,16.0,0.2909090909090909
B30  1,973.0,0.18028534370946822
B30  2,1477.0,0.25012701100762064
B30  3,967.0,0.2518885126334983
B31  1,1273.0,0.21167276355171266
B31  2,1239.0,0.2001938923897237
B31  3,1227.0,0.21522539905279775
B31  4,1022.0,0.19925911483720024
B31  5,1152.0,0.22925373134328358
B32  1,1081.0,0.2210181966877939
B32  2,1396.0,0.21856896821669014
