ONSConstID,ConstituencyName,pop,eu.citizens
E14000554,Berwick-upon-Tweed,75718,1039
E14000569,Bishop Auckland,87143,926
E14000574,Blaydon,88281,803
E14000575,Blyth Valley,82174,789
E14000641,City of Durham,94375,1936
E14000658,Darlington,91417,2318
E14000677,Easington,82769,911
E14000709,Gateshead,94506,2336
E14000733,Hartlepool,92028,869
E14000746,Hexham,76236,805
E14000754,Houghton and Sunderland South,87002,578
E14000765,Jarrow,83260,583
E14000819,Middlesbrough,93865,1993
E14000820,Middlesbrough South and East Cleveland,92826,772
E14000831,Newcastle upon Tyne Central,93693,3449
E14000832,Newcastle upon Tyne East,95589,2747
E14000833,Newcastle upon Tyne North,90895,1276
E14000840,North Durham,86883,738
E14000853,North Tyneside,102042,1244
E14000856,North West Durham,92119,1239
E14000891,Redcar,86898,698
E14000915,Sedgefield,84100,1019
E14000944,South Shields,82294,695
E14000970,Stockton North,92033,909
E14000971,Stockton South,99577,1109
E14000982,Sunderland Central,99885,1414
E14001006,Tynemouth,98759,1151
E14001014,Wansbeck,81900,700
E14001020,Washington and Sunderland West,88619,791
E14000532,Altrincham and Sale West,96591,2242
E14000537,Ashton-under-Lyne,90484,1970
E14000543,Barrow and Furness,88826,873
E14000559,Birkenhead,88818,1186
E14000570,Blackburn,107246,2374
E14000571,Blackley and Broughton,110754,6342
E14000572,Blackpool North and Cleveleys,83391,1506
E14000573,Blackpool South,81266,2114
E14000578,Bolton North East,95288,2006
E14000579,Bolton South East,101747,2296
E14000580,Bolton West,94523,1058
E14000581,Bootle,98449,960
E14000609,Burnley,87059,1169
E14000611,Bury North,87218,1628
E14000612,Bury South,97842,2270
E14000620,Carlisle,85979,2350
E14000627,Cheadle,91023,1271
E14000637,Chorley,94932,1245
E14000640,City of Chester,92995,2886
E14000646,Congleton,91960,1057
E14000647,Copeland,80891,895
E14000653,Crewe and Nantwich,107271,4349
E14000661,Denton and Reddish,85832,1117
E14000686,Eddisbury,85633,946
E14000688,Ellesmere Port and Neston,86913,1306
E14000706,Fylde,81914,1577
E14000708,Garston and Halewood,97697,1521
E14000725,Halton,94995,868
E14000738,Hazel Grove,79173,885
E14000747,Heywood and Middleton,103894,1857
E14000758,Hyndburn,92494,1535
E14000775,Knowsley,103910,631
E14000776,Lancaster and Fleetwood,86650,2439
