Constituency,Electorate,Turnout %
Aberavon,"49,821",63.27
Aberconwy,"45,525",66.22
Aberdeen North,"67,745",64.85
Aberdeen South,"68,056",71.33
Airdrie and Shotts,"66,792",66.3
Aldershot,"72,430",63.77
Aldridge-Brownhills,"60,215",65.59
Altrincham and Sale West,"71,511",70.64
Alyn and Deeside,"62,016",66.61
Amber Valley,"69,510",65.77
Angus,"65,792",67.61
Arfon,"40,492",66.27
Argyll and Bute,"68,875",75.32
Arundel and South Downs,"77,242",73.11
Ashfield,"77,091",61.49
Ashford,"85,177",67.35
Ashton-under-Lyne,"68,343",56.94
Aylesbury,"80,315",69.0
"Ayr, Carrick and Cumnock","72,995",71.52
Banbury,"86,420",67.12
Banff and Buchan,"68,609",66.5
Barking,"73,977",58.18
Barnsley Central,"64,534",56.65
Barnsley East,"69,135",55.71
Barrow and Furness,"68,338",63.32
Basildon and Billericay,"66,347",64.85
Basingstoke,"79,665",66.62
Bassetlaw,"76,796",64.18
Bath,"63,084",74.76
Batley and Spen,"78,373",64.4
Battersea,"76,111",67.04
Beaconsfield,"74,726",71.14
Beckenham,"67,439",72.36
Bedford,"69,311",66.49
Belfast East,"63,157",62.8
Belfast North,"68,553",59.2
Belfast South,"64,927",60.0
Belfast West,"62,697",56.4
Bermondsey and Old Southwark,"83,298",61.73
"Berwickshire, Roxburgh and Selkirk","74,214",74.16
Berwick-upon-Tweed,"56,969",70.95
Bethnal Green and Bow,"82,727",63.97
Beverley and Holderness,"80,805",65.19
Bexhill and Battle,"78,796",70.07
Bexleyheath and Crayford,"64,828",67.38
Birkenhead,"62,410",62.72
"Birmingham, Edgbaston","65,591",62.95
"Birmingham, Erdington","65,128",53.25
"Birmingham, Hall Green","76,330",61.63
"Birmingham, Hodge Hill","75,302",54.49
"Birmingham, Ladywood","68,128",52.71
"Birmingham, Northfield","71,428",59.44
"Birmingham, Perry Barr","69,943",58.99
"Birmingham, Selly Oak","75,092",60.31
"Birmingham, Yardley","72,146",57.03
Bishop Auckland,"66,070",59.61
Blackburn,"73,260",60.05
Blackley and Broughton,"71,913",51.6
Blackpool North and Cleveleys,"62,468",63.06
Blackpool South,"57,411",56.49
Blaenau Gwent,"51,335",61.71
Blaydon,"67,901",66.17
Blyth Valley,"61,247",62.79
Bognor Regis and Littlehampton,"72,995",64.54
Bolsover,"71,979",61.12
Bolton North East,"67,895",63.57
Bolton South East,"69,687",58.46
Bolton West,"72,719",66.82
Bootle,"70,145",64.36
Boston and Skegness,"67,064",64.62
Bosworth,"79,738",67.19
Bournemouth East,"72,275",62.02
Bournemouth West,"72,082",57.95
Bracknell,"81,271",65.31
Bradford East,"66,121",62.62
Bradford South,"63,674",59.05
Bradford West,"63,372",63.57
Braintree,"73,557",68.35
Brecon and Radnorshire,"54,441",73.6
Brent Central,"77,038",61.05
Brent North,"82,196",63.54
Brentford and Isleworth,"84,602",67.79
Brentwood and Ongar,"71,918",72.16
Bridgend,"59,998",65.75
Bridgwater and West Somerset,"80,491",67.64
Brigg and Goole,"68,488",63.17
"Brighton, Kemptown","67,858",66.76
"Brighton, Pavilion","76,557",71.41
Bristol East,"71,193",64.91
Bristol North West,"74,743",69.31
Bristol South,"81,496",62.38
Bristol West,"91,236",70.38
Broadland,"73,552",72.17
Bromley and Chislehurst,"65,477",67.29
Bromsgrove,"73,337",71.23
Broxbourne,"72,944",63.09
Broxtowe,"71,764",74.46
Buckingham,"77,425",69.34
Burnley,"64,477",61.64
Burton,"75,248",65.08
Bury North,"67,580",66.92
Bury South,"73,883",63.9
Bury St Edmunds,"85,982",69.01
Caerphilly,"63,603",63.33
"Caithness, Sutherland and Easter Ross","47,558",71.88
Calder Valley,"77,754",68.85
Camberwell and Peckham,"82,746",62.31
Camborne and Redruth,"66,944",68.51
Cambridge,"83,384",62.09
Cannock Chase,"74,532",63.19
Canterbury,"81,341",65.72
Cardiff Central,"57,456",67.26
Cardiff North,"67,196",76.12
Cardiff South and Penarth,"76,006",61.39
Cardiff West,"66,762",65.59
Carlisle,"65,827",64.69
Carmarthen East and Dinefwr,"55,750",70.67
Carmarthen West and South Pembrokeshire,"57,755",69.86
Carshalton and Wallington,"69,981",68.03
Castle Point,"68,170",66.67
Central Ayrshire,"70,021",72.51
Central Devon,"72,737",74.85
Central Suffolk and North Ipswich,"76,666",70.55
Ceredigion,"54,242",68.97
Charnwood,"77,269",67.63
Chatham and Aylesford,"66,355",64.91
Cheadle,"73,239",72.49
Chelmsford,"78,580",68.48
Chelsea and Fulham,"63,478",63.36
Cheltenham,"77,287",69.52
Chesham and Amersham,"72,547",72.68
Chesterfield,"71,625",63.61
Chichester,"83,396",68.51
Chingford and Woodford Green,"66,680",65.69
Chippenham,"74,218",74.65
Chipping Barnet,"77,807",68.13
Chorley,"74,679",69.24
Christchurch,"69,303",71.72
Cities of London and Westminster,"60,992",59.32
City of Chester,"74,485",68.68
City of Durham,"68,725",66.45
Clacton,"68,936",64.12
Cleethorpes,"71,008",63.49
Clwyd South,"54,996",63.75
Clwyd West,"58,644",64.84
"Coatbridge, Chryston and Bellshill","73,894",68.6
Colchester,"74,204",65.48
Colne Valley,"82,516",68.83
Congleton,"72,503",70.3
Copeland,"62,087",63.83
Corby,"79,775",70.41
Coventry North East,"75,462",55.96
Coventry North West,"73,626",61.45
Coventry South,"70,397",62.07
Crawley,"73,936",65.66
Crewe and Nantwich,"74,169",67.27
Croydon Central,"78,171",67.72
Croydon North,"85,941",62.27
Croydon South,"82,010",70.37
"Cumbernauld, Kilsyth and Kirkintilloch East","67,088",73.6
Cynon Valley,"51,422",59.25
Dagenham and Rainham,"69,128",62.27
Darlington,"65,851",62.47
Dartford,"75,209",69.69
Daventry,"72,873",72.06
Delyn,"53,639",69.83
Denton and Reddish,"66,141",58.48
Derby North,"69,794",64.11
Derby South,"70,240",58.11
Derbyshire Dales,"63,476",74.61
Devizes,"69,205",70.81
Dewsbury,"79,770",67.23
Don Valley,"71,299",59.58
Doncaster Central,"71,136",56.82
Doncaster North,"70,989",55.64
Dover,"72,930",68.86
Dudley North,"60,717",62.57
Dudley South,"60,363",63.3
Dulwich and West Norwood,"76,575",67.07
Dumfries and Galloway,"75,249",75.21
"Dumfriesshire, Clydesdale and Tweeddale","68,483",76.12
Dundee East,"67,822",71.04
Dundee West,"65,927",67.82
Dunfermline and West Fife,"78,037",71.61
Dwyfor Meirionnydd,"44,394",65.12
Ealing Central and Acton,"71,422",71.25
Ealing North,"73,881",65.65
"Ealing, Southall","65,606",66.03
Easington,"61,659",56.15
East Antrim,"62,811",53.3
East Devon,"76,519",71.5
East Dunbartonshire,"66,966",81.93
East Ham,"87,382",59.84
East Hampshire,"71,074",72.66
"East Kilbride, Strathaven and Lesmahagow","83,205",72.75
East Londonderry,"66,926",51.9
East Lothian,"79,481",74.24
East Renfrewshire,"69,982",81.06
East Surrey,"79,654",70.43
East Worthing and Shoreham,"74,775",66.73
East Yorkshire,"81,023",61.69
Eastbourne,"78,262",67.6
Eastleigh,"79,609",69.72
Eddisbury,"68,569",69.05
Edinburgh East,"67,141",70.13
Edinburgh North and Leith,"80,910",71.69
Edinburgh South,"65,801",74.9
Edinburgh South West,"72,149",71.52
Edinburgh West,"71,717",76.49
Edmonton,"66,016",62.61
Ellesmere Port and Neston,"69,223",67.5
Elmet and Rothwell,"79,143",73.02
Eltham,"63,998",67.43
Enfield North,"68,118",67.73
"Enfield, Southgate","64,937",70.54
Epping Forest,"73,447",67.18
Epsom and Ewell,"78,633",72.67
Erewash,"71,943",67.16
Erith and Thamesmead,"70,397",60.53
Esher and Walton,"79,894",71.31
Exeter,"76,968",70.18
Falkirk,"83,380",72.36
Fareham,"77,114",70.93
Faversham and Mid Kent,"69,523",65.88
Feltham and Heston,"82,340",60.0
Fermanagh and South Tyrone,"70,108",72.6
Filton and Bradley Stoke,"71,310",68.85
Finchley and Golders Green,"72,530",69.98
Folkestone and Hythe,"83,651",65.76
Forest of Dean,"69,865",70.87
Foyle,"70,036",52.8
Fylde,"65,679",66.31
Gainsborough,"74,686",65.95
Garston and Halewood,"73,719",66.44
Gateshead,"64,524",58.81
Gedling,"70,000",68.56
Gillingham and Rainham,"70,984",66.32
Glasgow Central,"70,945",55.42
Glasgow East,"70,378",60.27
Glasgow North,"60,169",61.36
Glasgow North East,"66,678",56.77
Glasgow North West,"68,418",64.09
Glasgow South,"74,051",65.87
Glasgow South West,"66,209",61.8
Glenrothes,"69,781",68.21
Gloucester,"82,968",63.36
Gordon,"79,393",73.25
Gosport,"73,268",65.05
Gower,"61,820",69.16
Grantham and Stamford,"81,150",66.24
Gravesham,"72,043",69.59
Great Grimsby,"59,200",56.97
Great Yarmouth,"69,793",63.71
Greenwich and Woolwich,"73,315",63.71
Guildford,"75,733",71.28
Hackney North and Stoke Newington,"88,153",56.59
Hackney South and Shoreditch,"84,971",55.99
Halesowen and Rowley Regis,"66,048",66.34
Halifax,"70,462",62.09
Haltemprice and Howden,"71,195",68.48
Halton,"72,818",61.82
Hammersmith,"72,254",66.37
Hampstead and Kilburn,"80,195",67.29
Harborough,"77,760",67.47
Harlow,"67,994",65.08
