Area code,All usual residents ,Area ,Density
K02000001,"63,182,178","24,251,298",2.6
K03000001,"61,371,315","22,895,065",2.7
K04000001,"56,075,912","15,101,354",3.7
E92000001,"53,012,456","13,027,843",4.1
W92000004,"3,063,456","2,073,511",1.5
S92000003 ,"5,295,403","7,793,711",0.7
N92000002 ,"1,810,863","1,356,233",1.3
,,,
,,,
E92000001,"53,012,456","13,027,843",4.1
,,,
E12000001,"2,596,886","857,317",3.0
,,,
E06000047,"513,242","222,606",2.3
E06000005,"105,564","19,748",5.3
E06000001,"92,028","9,386",9.8
E06000002,"138,412","5,387",25.7
E06000048,"316,028","501,302",0.6
E06000003,"135,177","24,490",5.5
E06000004,"191,610","20,393",9.4
,,,
E11000004,"1,104,825","54,005",20.5
E08000020,"200,214","14,235",14.1
E08000021,"280,177","11,344",24.7
E08000022,"200,801","8,239",24.4
E08000023,"148,127","6,441",23.0
E08000024,"275,506","13,746",20.0
,,,
E12000002,"7,052,177","1,410,535",5.0
,,,
E06000008,"147,489","13,701",10.8
E06000009,"142,065","3,488",40.7
E06000049,"370,127","116,638",3.2
E06000050,"329,608","91,666",3.6
E06000006,"125,746","7,910",15.9
E06000007,"202,228","18,065",11.2
,,,
E10000006,"499,858","676,656",0.7
E07000026,"96,422","124,158",0.8
E07000027,"69,087","7,796",8.9
E07000028,"107,524","103,930",1.0
E07000029,"70,603","73,174",1.0
E07000030,"52,564","214,236",0.2
E07000031,"103,658","153,362",0.7
,,,
E11000001,"2,682,528","127,603",21.0
E08000001,"276,786","13,980",19.8
E08000002,"185,060","9,948",18.6
E08000003,"503,127","11,564",43.5
E08000004,"224,897","14,236",15.8
E08000005,"211,699","15,808",13.4
E08000006,"233,933","9,719",24.1
E08000007,"283,275","12,606",22.5
E08000008,"219,324","10,317",21.3
E08000009,"226,578","10,604",21.4
E08000010,"317,849","18,819",16.9
,,,
E10000017,"1,171,339","290,320",4.0
E07000117,"87,059","11,070",7.9
E07000118,"107,155","20,280",5.3
E07000119,"75,757","16,569",4.6
E07000120,"80,734","7,299",11.1
E07000121,"138,375","57,586",2.4
E07000122,"89,452","16,936",5.3
