Area code,All categories: Long-term health problem or disability,Day-to-day activities limited2 a lot,Day-to-day activities limited2 a little,Day-to-day activities not limited2,Day-to-day activities limited2 a lot: Age 16 to 64,Day-to-day activities limited2 a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
K02000001,"63,182,178","5,490,807","5,972,651","51,718,720","2,442,214","2,984,299","35,503,752","30,077,077","21,245,436","8,315,694","2,735,364","808,607","56,675,721","4,060,706","897,374","1,548,377"
K03000001,"61,371,315","5,275,575","5,813,237","50,282,503","2,330,663","2,898,462","34,533,320","29,212,890","20,669,820","8,046,762","2,654,822","787,021","55,078,838","3,938,405","862,005","1,492,067"
K04000001,"56,075,912","4,769,712","5,278,729","46,027,471","2,086,236","2,619,966","31,567,505","26,434,409","19,094,820","7,401,881","2,428,668","716,134","50,275,666","3,665,072","775,189","1,359,985"
E92000001,"53,012,456","4,405,394","4,947,192","43,659,870","1,924,080","2,452,742","29,952,269","25,005,712","18,141,457","6,954,092","2,250,446","660,749","47,582,440","3,452,636","721,143","1,256,237"
W92000004,"3,063,456","364,318","331,537","2,367,601","162,156","167,224","1,615,236","1,428,697","953,363","447,789","178,222","55,385","2,693,226","212,436","54,046","103,748"
S92000003 ,"5,295,403","505,863","534,508","4,255,032","244,427","278,496","2,965,815","2,778,481","1,575,000","644,881","226,154","70,887","4,803,172","273,333","86,816","132,082"
N92000002 ,"1,810,863","215,232","159,414","1,436,217","111,551","85,837","970,432","864,187","575,616","268,932","80,542","21,586","1,596,883","122,301","35,369","56,310"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
E92000001,"53,012,456","4,405,394","4,947,192","43,659,870","1,924,080","2,452,742","29,952,269","25,005,712","18,141,457","6,954,092","2,250,446","660,749","47,582,440","3,452,636","721,143","1,256,237"
,,,,,,,,,,,,,,,,
E12000001,"2,596,886","285,087","277,105","2,034,694","132,039","140,910","1,412,015","1,142,170","866,035","395,243","149,374","44,064","2,310,535","165,828","41,778","78,745"
,,,,,,,,,,,,,,,,
