Area code,All categories: Sex,Males,Females
K02000001,"63,182,178","31,028,143","32,154,035"
K03000001,"61,371,315","30,140,820","31,230,495"
K04000001,"56,075,912","27,573,376","28,502,536"
E92000001,"53,012,456","26,069,148","26,943,308"
W92000004,"3,063,456","1,504,228","1,559,228"
S92000003 ,5295403,2567444,2727959
N92000002 ,1810863,887323,923540
,,,
,,,
E92000001,53012456,26069148,26943308
,,,
E12000001,"2,596,886","1,269,703","1,327,183"
,,,
E06000047,"513,242","251,280","261,962"
E06000005,"105,564","51,483","54,081"
E06000001,"92,028","44,751","47,277"
E06000002,"138,412","67,732","70,680"
E06000048,"316,028","154,124","161,904"
E06000003,"135,177","65,655","69,522"
E06000004,"191,610","94,082","97,528"
,,,
E11000004,"1,104,825","540,596","564,229"
E08000020,"200,214","97,974","102,240"
E08000021,"280,177","140,226","139,951"
E08000022,"200,801","96,883","103,918"
E08000023,"148,127","71,560","76,567"
E08000024,"275,506","133,953","141,553"
,,,
E12000002,"7,052,177","3,464,685","3,587,492"
,,,
E06000008,"147,489","73,547","73,942"
E06000009,"142,065","69,775","72,290"
E06000049,"370,127","181,409","188,718"
E06000050,"329,608","160,586","169,022"
E06000006,"125,746","61,368","64,378"
E06000007,"202,228","100,300","101,928"
,,,
E10000006,"499,858","246,065","253,793"
E07000026,"96,422","47,371","49,051"
E07000027,"69,087","34,185","34,902"
E07000028,"107,524","52,478","55,046"
E07000029,"70,603","35,476","35,127"
E07000030,"52,564","26,033","26,531"
E07000031,"103,658","50,522","53,136"
,,,
E11000001,"2,682,528","1,325,455","1,357,073"
E08000001,"276,786","136,660","140,126"
E08000002,"185,060","90,588","94,472"
E08000003,"503,127","252,623","250,504"
E08000004,"224,897","110,155","114,742"
E08000005,"211,699","103,642","108,057"
E08000006,"233,933","116,782","117,151"
E08000007,"283,275","138,400","144,875"
E08000008,"219,324","107,650","111,674"
E08000009,"226,578","110,959","115,619"
E08000010,"317,849","157,996","159,853"
,,,
E10000017,"1,171,339","575,146","596,193"
E07000117,"87,059","42,794","44,265"
E07000118,"107,155","53,708","53,447"
E07000119,"75,757","36,781","38,976"
E07000120,"80,734","39,977","40,757"
E07000121,"138,375","66,841","71,534"
E07000122,"89,452","44,012","45,440"
E07000123,"140,202","70,284","69,918"
E07000124,"57,132","27,973","29,159"
E07000125,"67,982","33,367","34,615"
E07000126,"109,057","53,344","55,713"
E07000127,"110,685","53,840","56,845"
E07000128,"107,749","52,225","55,524"
,,,
E11000002,"1,381,189","671,034","710,155"
E08000011,"145,893","69,329","76,564"
E08000012,"466,415","230,483","235,932"
E08000014,"273,790","131,237","142,553"
E08000013,"175,308","86,138","89,170"
E08000015,"319,783","153,847","165,936"
,,,
E12000003,"5,283,733","2,598,078","2,685,655"
,,,
E06000011,"334,179","163,388","170,791"
E06000010,"256,406","128,420","127,986"
E06000012,"159,616","78,247","81,369"
