ward,youth,pop
E05000026,0.08182406209573091,15460
E05000027,0.10031832651205093,10995
E05000028,0.0956129726820078,14862
E05000029,0.09383044829116734,11265
E05000030,0.11182776954589035,11473
E05000031,0.10420872806336387,12878
E05000032,0.08738091519600187,12806
E05000033,0.0996879618985055,12178
E05000034,0.10155287157998522,12171
E05000035,0.1168648310387985,12784
E05000036,0.10237010027347311,10970
E05000037,0.09850340136054422,11025
E05000038,0.09749486652977413,12175
E05000039,0.10329937251197625,14821
E05000040,0.09403732362312243,10985
E05000041,0.09889260880762298,11649
E05000042,0.09235303749795316,12214
E05000043,0.08503862711564546,16957
E05000044,0.09791282995702885,19548
E05000045,0.09335966201322557,21776
E05000046,0.10356041023930626,23986
E05000047,0.0821066057288622,18817
E05000048,0.07696786213320912,17176
E05000049,0.07158836689038031,17433
E05000050,0.08418801074973949,18233
E05000051,0.07551960321209258,16936
E05000052,0.0748457261562901,16367
E05000053,0.09368684438456357,20782
E05000054,0.09138773975178639,18613
E05000055,0.10170795507001078,19497
E05000056,0.07245053272450533,16425
E05000057,0.08683669890264067,19957
E05000058,0.07464103476919426,16854
E05000059,0.06922196796338673,15732
E05000060,0.08810117346628564,16447
E05000061,0.07240421987784564,18010
E05000062,0.08848535740526924,19054
E05000063,0.07738374212362652,19203
E05000064,0.0825233816247937,10906
E05000065,0.0923019985196151,13510
E05000066,0.09500879711084359,10799
E05000067,0.09184958618207989,11116
E05000068,0.07947203249030829,10834
E05000069,0.07531955048468732,11657
E05000070,0.08826705056685262,11114
E05000071,0.0865078160570648,13178
E05000072,0.09243123184691611,11706
E05000073,0.08074105988797932,11605
E05000074,0.08849247988807275,11436
E05000075,0.09410500460546516,13028
E05000076,0.09656576385200921,11298
E05000077,0.09191460173197291,11663
E05000078,0.09197449840615038,10666
E05000079,0.10353955528664348,13222
E05000080,0.09209932279909706,11075
E05000081,0.08346972176759411,10998
E05000082,0.0980099938634172,11407
E05000083,0.1097443106932607,11381
E05000084,0.1000369685767098,13525
E05000085,0.0973143955839484,16123
E05000086,0.09146674764652293,16465
E05000087,0.08454197039152325,13307
E05000088,0.10965654188423916,13597
E05000089,0.09693813527418747,15938
E05000090,0.0982773851590106,13584
E05000091,0.10357375624592657,18412
E05000092,0.08717882337712769,15451
E05000093,0.07837226827430294,11943
E05000094,0.07903357903357904,17094
E05000095,0.09249606012850042,16498
E05000096,0.1308135242876126,13546
E05000097,0.09009009009009009,16206
E05000098,0.0705733670347213,15034
E05000099,0.09178502158543453,15983
E05000100,0.12083333333333333,18480
E05000101,0.08370907665163693,15303
E05000102,0.12609325224442514,17265
E05000103,0.09672840820381803,14091
E05000104,0.08709284096847239,17223
E05000105,0.10615638703798622,17559
E05000106,0.0718296224588577,15495
E05000107,0.08772285251215559,9872
E05000108,0.08155881131739724,16859
E05000109,0.06667012286795583,19289
E05000110,0.06888918701368393,14908
E05000111,0.07082968339381805,15982
E05000112,0.059063260340632605,16440
E05000113,0.05046686143094461,17457
E05000114,0.08485856905158069,16828
E05000115,0.0959823947635707,17722
E05000116,0.06992654472130203,13886
E05000117,0.06973237843950245,5306
E05000118,0.08238031914893618,15040
E05000119,0.08723926380368098,16300
E05000120,0.08067825247405262,16572
E05000121,0.08206659428157799,11052
E05000122,0.07338138436684478,16094
E05000123,0.08166524701873935,18784
E05000124,0.06640709495998269,13869
E05000125,0.07049884785451828,16057
E05000126,0.072494261667941845,10456
E05000127,0.08847450902598691,15123
E05000128,0.05177166677872655,14873
E05000129,0.25702541733076084,11921
E05000130,0.0858155002891845,13832
E05000131,0.1606431520243355,13807
E05000132,0.07299872458549028,13329
E05000133,0.08170527490929388,14332
E05000134,0.08209186840471756,12888
E05000135,0.048995070155479714,13185
E05000136,0.09938318663802065,14429
E05000137,0.06915629322268327,12291
E05000138,0.12541860923238557,15229
E05000139,0.0826201448321264,15190
E05000140,0.06858868358616722,13909
