ward,30-34w,pop
S13002516,0.0819833087874325,6111
S13002517,0.07873769723480706,6401
S13002518,0.08872260823089258,7484
S13002519,0.09417040358744394,10481
S13002520,0.0875618811881188,9696
S13002521,0.07101581508515815,6576
S13002522,0.08190377918225203,7753
S13002523,0.0654296875,6144
S13002524,0.06466942148760331,9680
S13002525,0.07595954952884394,8702
S13002526,0.095733744538679,7782
S13002545,0.10602519813046128,19684
S13002546,0.10839034929780339,19439
S13002547,0.07215743440233237,20580
S13002548,0.09343351845802025,18366
S13002549,0.0955400322407308,18610
S13002551,0.1091997479521109,15870
S13002552,0.09522157232080897,20174
S13002600,0.08991735537190082,3025
S13002601,0.0890646492434663,2908
S13002602,0.07254830477579292,2743
S13002603,0.06472128694350916,2673
S13002604,0.09721588315837518,2191
S13002605,0.09990108803165183,4044
S13002606,0.10138248847926268,3906
S13002607,0.09617486338797815,2745
S13002608,0.07918968692449356,2715
S13002732,0.10053564070869386,4854
S13002733,0.09249011857707509,3795
S13002734,0.08571428571428572,2625
S13002735,0.09057341442224152,4604
S13002736,0.09721156305960604,3909
S13002737,0.07410754631721644,2213
S13002761,0.0915641813989239,10408
S13002762,0.09607986810771203,10918
S13002763,0.09533997459383567,14957
S13002764,0.08590422769294692,9627
S13002765,0.09901358645077238,10746
S13002766,0.07682680273418696,10387
S13002767,0.07719265012312938,10558
S13002768,0.0803216742563705,10321
S13002769,0.08049366535605068,9156
S13002770,0.08895080913085414,9331
S13002771,0.07896876088723725,8611
S13002772,0.07619394823186293,2743
S13002773,0.09262644728823888,3282
S13002774,0.09490740740740741,3024
S13002775,0.1111111111111111,2628
S13002776,0.10088757396449705,3380
S13002777,0.09029126213592233,2060
S13002778,0.09978198893174577,5963
S13002820,0.10208307954683883,16418
S13002821,0.10918562071277528,19389
S13002822,0.11367408605353875,23497
S13002823,0.10604290126032885,23962
S13002824,0.110666232133712,21479
S13002825,0.10026220501935323,16018
S13002826,0.10293565935096605,21324
S13002827,0.12653338426928137,23559
S13002828,0.11599846782431052,15664
S13002830,0.12003502846062426,15987
S13002835,0.1123052122514777,18610
S13002836,0.10901390776952839,19126
S13002837,0.11610658965607772,15236
S13002838,0.11198906844106464,16832
S13002839,0.11353332091174462,16101
S13002840,0.10073153363112579,15447
S13002841,0.12527233115468409,14688
S13002842,0.08768809191865776,20801
S13002843,0.09986320109439124,16082
S13002844,0.12058952710946269,20491
S13002845,0.11822190442140389,16782
S13002846,0.12548861032484163,22257
S13002847,0.11879855631002631,16347
S13002848,0.08773194019095658,11102
S13002849,0.0933303739873488,9011
S13002850,0.09729897547345545,16105
S13002851,0.10121078332998863,14949
S13002852,0.10031707481616407,14823
S13002853,0.09817280891917002,12916
