postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
GU12 4,E14000530,63.77,11.7415765,2.9,6,1.4,3,2.6,6.9,7.6,24.9,14535,12624,86.9,332,2.3,1249,8.6,235,1.6
GU11 3,E14000530,63.77,11.7415765,2.8,5.6,1.5,2.7,2.4,6.1,5.9,21.2,12395,10835,87.4,264,2.1,1064,8.6,176,1.4
GU14 8,E14000530,63.77,11.7415765,2.3,6.9,1.5,3.6,3,6.6,5.5,22,16241,13073,80.5,397,2.4,2427,14.9,244,1.5
GU14 9,E14000530,63.77,11.7415765,2.4,5.8,1.4,2.6,2.4,6,7,23.8,15167,13624,89.8,272,1.8,1028,6.8,188,1.2
GU16 7,E14000530,63.77,11.7415765,3,6,1,2.6,2,5.6,6.5,25.1,2067,1575,76.2,47,2.3,383,18.5,43,2.1
GU14 0,E14000530,63.77,11.7415765,2.3,5.8,1.2,2.6,2.1,6,6.9,24.4,8039,7154,89,166,2.1,579,7.2,111,1.4
GU14 7,E14000530,63.77,11.7415765,2.5,5.2,1.1,2.3,1.9,6.9,9.1,23.1,6129,5487,89.5,105,1.7,431,7,71,1.2
GU14 4,E14000530,63.77,11.7415765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GU14 6,E14000530,63.77,11.7415765,2.8,5.3,0.9,2.2,1.7,6.3,8.2,25.2,9418,8373,88.9,261,2.8,577,6.1,156,1.7
GU17 9,E14000530,63.77,11.7415765,2.2,5.2,1.2,2.2,1.6,5.8,7.6,19.4,3906,3584,91.8,51,1.3,195,5,54,1.4
GU11 1,E14000530,63.77,11.7415765,3.7,5.4,1,2.2,2.2,8.1,11.9,30.3,6271,4038,64.4,125,2,1593,25.4,396,6.3
GU11 9,E14000530,63.77,11.7415765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GU11 2,E14000530,63.77,11.7415765,1.3,4.1,0.6,1.3,3.2,18.9,17.5,29.3,4626,3404,73.6,120,2.6,753,16.3,283,6.1
GU11 4,E14000530,63.77,11.7415765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GU51 2,E14000530,63.77,11.7415765,3,5.4,1,2.1,1.5,6.3,7.8,29,2542,2265,89.1,59,2.3,193,7.6,10,0.4
GU17 0,E14000530,63.77,11.7415765,2,6.3,1.4,2.4,2.3,5.7,4.7,20,7195,6692,93,125,1.7,261,3.6,91,1.3
GU46 6,E14000530,63.77,11.7415765,1.6,6.2,1.4,3,2.3,5.5,4.6,19.4,11356,10951,96.4,137,1.2,206,1.8,41,0.4
GU46 7,E14000530,63.77,11.7415765,1.6,6.9,1.1,2.7,2,3.9,4.3,20.1,3473,3353,96.5,47,1.4,61,1.8,8,0.2
