,Area code,Area,Remain,Leave,Density_x,Males_x,Females_x,Very good health_x,Good health_x,Fair health_x,Very bad health_x,Bad health_x,lat_x,long_x,Density_y,Males_y,Females_y,Very good health_y,Good health_y,Fair health_y,Very bad health_y,Bad health_y,lat_y,long_y
0,E06000031,Peterborough,34176,53216,5.3,"90,859","92,772","81,275","68,493","24,362","2,076","7,425",52.5921402,-0.26874000000000003,5.3,"90,859","92,772","81,275","68,493","24,362","2,076","7,425",52.5921402,-0.26874000000000003
1,E06000032,Luton,36708,47773,46.9,"101,954","101,247","94,607","73,300","25,277","2,446","7,571",51.89102173,-0.42318999999999996,46.9,"101,954","101,247","94,607","73,300","25,277","2,446","7,571",51.89102173,-0.42318999999999996
2,E06000033,Southend-on-Sea,39348,54522,41.6,"85,037","88,621","78,341","60,929","24,420","2,190","7,778",51.54914093,0.70690602,41.6,"85,037","88,621","78,341","60,929","24,420","2,190","7,778",51.54914093,0.70690602
3,E06000034,Thurrock,22151,57765,9.7,"77,823","79,882","76,012","54,788","19,389","1,628","5,888",51.5099411,0.33490199,9.7,"77,823","79,882","76,012","54,788","19,389","1,628","5,888",51.5099411,0.33490199
4,E06000055,Bedford,41497,44569,3.3,"77,312","80,167","73,860","56,663","19,812","1,548","5,596",52.19628143,-0.45462999,3.3,"77,312","80,167","73,860","56,663","19,812","1,548","5,596",52.19628143,-0.45462999
5,E06000056,Central Bedfordshire,69670,89134,3.6,"126,044","128,337","125,019","90,360","29,202","2,128","7,672",51.99903107,-0.47753999,3.6,"126,044","128,337","125,019","90,360","29,202","2,128","7,672",51.99903107,-0.47753999
6,E07000008,Cambridge,42682,15117,30.4,"62,984","60,883","67,743","39,600","12,021",970,"3,533",52.20016861,0.126436,30.4,"62,984","60,883","67,743","39,600","12,021",970,"3,533",52.20016861,0.126436
7,E07000009,East Cambridgeshire,23599,24487,1.3,"41,443","42,375","40,874","29,487","10,131",712,"2,614",52.35787964,0.28316301,1.3,"41,443","42,375","40,874","29,487","10,131",712,"2,614",52.35787964,0.28316301
8,E07000010,Fenland,15055,37571,1.7,"46,811","48,451","37,577","36,042","15,760","1,293","4,590",52.53543854,0.009016,1.7,"46,811","48,451","37,577","36,042","15,760","1,293","4,590",52.53543854,0.009016
9,E07000011,Huntingdonshire,45729,54198,1.9,"84,532","84,976","82,675","60,470","19,682","1,442","5,239",52.35316849,-0.22466999,1.9,"84,532","84,976","82,675","60,470","19,682","1,442","5,239",52.35316849,-0.22466999
10,E07000012,South Cambridgeshire,56128,37061,1.6,"73,790","74,965","78,041","50,147","15,792","1,036","3,739",52.1080513,0.091017,1.6,"73,790","74,965","78,041","50,147","15,792","1,036","3,739",52.1080513,0.091017
11,E07000066,Basildon,30748,67251,15.9,"84,645","89,852","80,704","60,991","23,145","2,302","7,355",51.59035873,0.47505501,15.9,"84,645","89,852","80,704","60,991","23,145","2,302","7,355",51.59035873,0.47505501
12,E07000067,Braintree,33523,52713,2.4,"72,137","74,947","69,884","52,492","18,291","1,371","5,046",51.91633987,0.57591099,2.4,"72,137","74,947","69,884","52,492","18,291","1,371","5,046",51.91633987,0.57591099
13,E07000068,Brentwood,19077,27627,4.8,"35,582","38,019","37,548","24,537","8,565",645,"2,306",51.64107895,0.29009101,4.8,"35,582","38,019","37,548","24,537","8,565",645,"2,306",51.64107895,0.29009101
14,E07000069,Castle Point,14154,37691,19.5,"42,907","45,104","38,280","31,786","12,963","1,109","3,873",51.56159973,0.58808398,19.5,"42,907","45,104","38,280","31,786","12,963","1,109","3,873",51.56159973,0.58808398
15,E07000070,Chelmsford,47545,53249,5.0,"82,914","85,396","84,476","58,430","19,261","1,365","4,778",51.73503113,0.49116299,5.0,"82,914","85,396","84,476","58,430","19,261","1,365","4,778",51.73503113,0.49116299
16,E07000071,Colchester,44414,51305,5.3,"85,343","87,731","84,520","60,279","20,925","1,658","5,692",51.87701035,0.85977602,5.3,"85,343","87,731","84,520","60,279","20,925","1,658","5,692",51.87701035,0.85977602
17,E07000072,Epping Forest,28676,48176,3.7,"60,440","64,219","61,413","42,077","15,435","1,293","4,441",51.71279144,0.154147,3.7,"60,440","64,219","61,413","42,077","15,435","1,293","4,441",51.71279144,0.154147
18,E07000073,Harlow,13867,29602,26.8,"39,674","42,270","36,969","29,380","11,203",994,"3,398",51.76613998,0.10388800000000001,26.8,"39,674","42,270","36,969","29,380","11,203",994,"3,398",51.76613998,0.10388800000000001
19,E07000074,Maldon,14529,24302,1.7,"30,458","31,171","28,471","21,961","8,269",668,"2,260",51.77571106,0.773857,1.7,"30,458","31,171","28,471","21,961","8,269",668,"2,260",51.77571106,0.773857
20,E07000075,Rochford,17510,34937,4.9,"40,787","42,500","39,774","29,085","10,832",780,"2,816",51.59093094,0.68347299,4.9,"40,787","42,500","39,774","29,085","10,832",780,"2,816",51.59093094,0.68347299
21,E07000076,Tendring,25210,57447,4.1,"66,071","71,977","53,035","49,451","25,052","2,462","8,048",51.85692978,1.10918295,4.1,"66,071","71,977","53,035","49,451","25,052","2,462","8,048",51.85692978,1.10918295
22,E07000077,Uttlesford,25619,26324,1.2,"39,203","40,240","41,746","26,483","8,620",527,"2,067",51.93592072,0.294485,1.2,"39,203","40,240","41,746","26,483","8,620",527,"2,067",51.93592072,0.294485
23,E07000095,Broxbourne,17166,33706,18.2,"45,357","48,252","44,661","33,072","11,544",975,"3,357",51.72079849,-0.050730000000000004,18.2,"45,357","48,252","44,661","33,072","11,544",975,"3,357",51.72079849,-0.050730000000000004
24,E07000096,Dacorum,42542,43702,6.8,"71,307","73,540","72,910","49,326","16,778","1,257","4,576",51.76845169,-0.55097997,6.8,"71,307","73,540","72,910","49,326","16,778","1,257","4,576",51.76845169,-0.55097997
25,E07000098,Hertsmere,27593,28532,9.9,"48,290","51,741","51,558","32,887","11,433",945,"3,208",51.68016815,-0.26899001,9.9,"48,290","51,741","51,558","32,887","11,433",945,"3,208",51.68016815,-0.26899001
26,E07000099,North Hertfordshire,42234,35438,3.4,"62,380","64,734","63,801","43,360","14,965","1,030","3,958",51.95737839,-0.22314,3.4,"62,380","64,734","63,801","43,360","14,965","1,030","3,958",51.95737839,-0.22314
27,E07000102,Three Rivers,25751,27097,9.8,"42,371","44,946","44,267","29,873","9,772",733,"2,672",51.65631866,-0.45005,9.8,"42,371","44,946","44,267","29,873","9,772",733,"2,672",51.65631866,-0.45005
28,E07000103,Watford,23167,23419,42.1,"44,828","45,473","45,200","31,453","9,911",806,"2,931",51.67169952,-0.40428999,42.1,"44,828","45,473","45,200","31,453","9,911",806,"2,931",51.67169952,-0.40428999
29,E07000143,Breckland,26313,47235,1.0,"64,566","65,925","55,097","48,663","19,565","1,543","5,623",52.59421158,0.81871599,1.0,"64,566","65,925","55,097","48,663","19,565","1,543","5,623",52.59421158,0.81871599
30,E07000144,Broadland,35469,42268,2.3,"60,794","63,852","55,219","46,106","17,475","1,347","4,499",52.6962204,1.25233197,2.3,"60,794","63,852","55,219","46,106","17,475","1,347","4,499",52.6962204,1.25233197
31,E07000145,Great Yarmouth,14284,35844,5.6,"47,762","49,515","39,204","35,032","16,130","1,581","5,330",52.68439865,1.64949596,5.6,"47,762","49,515","39,204","35,032","16,130","1,581","5,330",52.68439865,1.64949596
32,E07000146,King's Lynn and West Norfolk,28587,56493,1.0,"72,053","75,398","60,322","54,681","23,441","1,930","7,077",52.71282959,0.53325802,1.0,"72,053","75,398","60,322","54,681","23,441","1,930","7,077",52.71282959,0.53325802
